town_low,town_high,distance_mi,rank,category,uni_pct,school_to_school
Haverhill,Methuen,0.0,27,uni_pct_low,56.9,Haverhill-Methuen
Newbury,Newburyport,0.0,28,uni_pct_low,67.2,Newbury-Newburyport
Beverly,Marblehead,0.0,29,uni_pct_low,75.1,Beverly-Marblehead
Gloucester,Manchester,0.0,30,uni_pct_low,49.2,Gloucester-Manchester
Newbury,Ipswich,0.0,31,uni_pct_low,67.2,Newbury-Ipswich
Hamilton,Manchester,0.0,32,uni_pct_low,81.5,Hamilton-Manchester
Peabody,Swampscott,0.0,33,uni_pct_low,60.9,Peabody-Swampscott
Methuen,Andover,0.0,34,uni_pct_low,60.0,Methuen-Andover
Salem,Danvers,0.0,35,uni_pct_low,50.2,Salem-Danvers
Danvers,Hamilton,0.0,36,uni_pct_low,70.9,Danvers-Hamilton
Saugus,Swampscott,0.0,37,uni_pct_low,63.0,Saugus-Swampscott
Saugus,Lynnfield,0.0,38,uni_pct_low,63.0,Saugus-Lynnfield
Peabody,Middleton,0.0,39,uni_pct_low,60.9,Peabody-Middleton
Newbury,Groveland,0.0,40,uni_pct_low,67.2,Newbury-Groveland
Amesbury,Groveland,0.0,41,uni_pct_low,67.5,Amesbury-Groveland
Danvers,Lynnfield,0.0,42,uni_pct_low,70.9,Danvers-Lynnfield
Beverly,Manchester,0.0,43,uni_pct_low,75.1,Beverly-Manchester
Haverhill,North Andover,0.0,44,uni_pct_low,56.9,Haverhill-North Andover
Beverly,Swampscott,0.0,45,uni_pct_low,75.1,Beverly-Swampscott
Lynn,Lynnfield,0.0,46,uni_pct_low,41.1,Lynn-Lynnfield
Peabody,Saugus,0.0,47,uni_pct_low,60.9,Peabody-Saugus
Beverly,Middleton,0.0,48,uni_pct_low,75.1,Beverly-Middleton
Peabody,Marblehead,0.0,49,uni_pct_low,60.9,Peabody-Marblehead
Salem,Saugus,0.0,50,uni_pct_low,50.2,Salem-Saugus
Hamilton,Middleton,0.0,51,uni_pct_low,81.5,Hamilton-Middleton
Salem,Lynnfield,0.0,52,uni_pct_low,50.2,Salem-Lynnfield
Lynnfield,Boxford,0.0,53,uni_pct_low,85.4,Lynnfield-Boxford
Merrimac,Newburyport,0.0,54,uni_pct_low,80.2,Merrimac-Newburyport
Georgetown,North Andover,0.0,55,uni_pct_low,82.6,Georgetown-North Andover
Lynn,Beverly,0.0,56,uni_pct_low,41.1,Lynn-Beverly
Georgetown,Boxford,0.0,57,uni_pct_low,82.6,Georgetown-Boxford
Lawrence,Haverhill,0.0,58,uni_pct_low,45.7,Lawrence-Haverhill
Danvers,Marblehead,0.0,59,uni_pct_low,70.9,Danvers-Marblehead
Swampscott,Lynnfield,0.0,60,uni_pct_low,77.5,Swampscott-Lynnfield
Danvers,Swampscott,0.0,61,uni_pct_low,70.9,Danvers-Swampscott
Ipswich,Georgetown,0.0,62,uni_pct_low,69.9,Ipswich-Georgetown
Lynn,Danvers,0.0,63,uni_pct_low,41.1,Lynn-Danvers
Newbury,Amesbury,0.0,64,uni_pct_low,67.2,Newbury-Amesbury
Haverhill,Georgetown,0.0,65,uni_pct_low,56.9,Haverhill-Georgetown
Ipswich,Middleton,0.0,66,uni_pct_low,69.9,Ipswich-Middleton
Merrimac,North Andover,0.0,67,uni_pct_low,80.2,Merrimac-North Andover
Beverly,Lynnfield,0.0,68,uni_pct_low,75.1,Beverly-Lynnfield
Newburyport,Georgetown,0.0,69,uni_pct_low,81.5,Newburyport-Georgetown
Saugus,Marblehead,0.0,70,uni_pct_low,63.0,Saugus-Marblehead
Marblehead,Manchester,0.0,71,uni_pct_low,79.1,Marblehead-Manchester
Lawrence,Georgetown,0.0,72,uni_pct_low,45.7,Lawrence-Georgetown
Danvers,Manchester,0.0,73,uni_pct_low,70.9,Danvers-Manchester
Ipswich,Danvers,0.0,74,uni_pct_low,69.9,Ipswich-Danvers
Ipswich,Manchester,0.0,75,uni_pct_low,69.9,Ipswich-Manchester
Peabody,Hamilton,0.0,76,uni_pct_low,60.9,Peabody-Hamilton
Ipswich,Beverly,0.0,77,uni_pct_low,69.9,Ipswich-Beverly
Newbury,Hamilton,0.0,78,uni_pct_low,67.2,Newbury-Hamilton
Methuen,Groveland,0.0,79,uni_pct_low,60.0,Methuen-Groveland
Rowley,Topsfield,0.0,80,uni_pct_low,67.2,Rowley-Topsfield
Gloucester,Hamilton,0.0,81,uni_pct_low,49.2,Gloucester-Hamilton
Ipswich,Newburyport,0.0,82,uni_pct_low,69.9,Ipswich-Newburyport
Salem,Middleton,0.0,83,uni_pct_low,50.2,Salem-Middleton
North Andover,Middleton,0.0,84,uni_pct_low,83.0,North Andover-Middleton
