school_to_school,distance,distance_mi,town_1,town_2,loc1,lat1,lon1,loc2,lat2,lon2,district_code_x,district_name_x,district_code_y,district_name_y,avg_class_size_x,avg_class_size_y,african_american_pct_x,asian_pct_x,hispanic_pct_x,white_pct_x,native_american_pct_x,nhpi_pct_x,mrnh_pct_x,african_american_pct_y,asian_pct_y,hispanic_pct_y,white_pct_y,native_american_pct_y,nhpi_pct_y,mrnh_pct_y,ap_pct_score_3-5_x,ap_pct_score_3-5_y,attend_uni_(pct)_x,attend_uni_(pct)_y,private_four-year_(pct)_x,private_four-year_(pct)_y,pct_graduated_x,pct_graduated_y,pct_dropped_out_x,pct_dropped_out_y,school_name_x,school_name_y,pop_census_2020_x,pop_census_2020_y,hisp_latino_pct_x,hisp_latino_pct_y,white_pop_nhl_x,white_pop_nhl_y,foreign_born_pct_x,foreign_born_pct_y,median_household_income_x,median_household_income_y,per_cap_income_12_mos_x,per_cap_income_12_mos_y,pop_sq_mo_2010_x,pop_sq_mo_2010_y
Hamilton-Georgetown,15.52095607,9.644274943153622,Hamilton,Georgetown,10,42.628687,-70.847813,7,42.724063,-70.986438,6750000.0,Hamilton-Wenham,1050000.0,Georgetown,11.8,14.9,0.5,3.7,5.2,87.8,0.0,0.2,2.7,0.8,1.0,2.4,93.7,0.0,0.2,2.0,62.1,87.2,81.5,82.6,57.1,41.1,97.2,95.5,0.7,2.7,Hamilton-Wenham Regional High School,Georgetown High School,7561,8470,0.015,0.035,0.91,0.932,0.096,0.037,127813,128466,49347,53243,547.4,636.3
Middleton-Lawrence,15.68506657,9.746248479830118,Middleton,Lawrence,20,42.624813,-70.975813,13,42.691187,-71.145062,7050000.0,Masconomet,1490000.0,Lawrence,15.8,17.9,0.7,3.7,3.1,90.0,0.1,0.2,2.4,1.3,1.2,93.8,3.2,0.0,0.0,0.4,83.5,23.8,88.3,45.7,47.2,19.6,95.9,72.8,1.7,8.8,Masconomet Regional High School,Lawrence High School,9779,89143,0.062,0.806,0.903,0.148,0.085,0.406,125204,44613,52896,20858,667.9,11028.0
Andover-Georgetown,15.68708883,9.747505053932809,Andover,Georgetown,2,42.657187,-71.155438,7,42.724063,-70.986438,90000.0,Andover,1050000.0,Georgetown,12.3,14.9,2.7,19.0,7.9,66.5,0.1,0.1,3.7,0.8,1.0,2.4,93.7,0.0,0.2,2.0,74.4,87.2,81.1,82.6,52.4,41.1,95.2,95.5,0.9,2.7,Andover High School,Georgetown High School,9735,8470,0.025,0.035,0.847,0.932,0.135,0.037,95600,128466,55457,53243,2376.6,636.3
Salisbury-Haverhill,16.2694342,10.109357689480698,Salisbury,Haverhill,29,42.744187,-70.916438,11,42.787188,-71.106938,7730000.0,Triton,1280000.0,Haverhill,16.9,17.2,1.6,2.1,3.9,90.1,0.1,0.1,2.0,5.2,1.8,40.9,49.7,0.2,0.1,2.1,69.0,48.4,67.2,56.9,30.8,28.5,89.5,80.4,3.7,7.7,Triton Regional High School,Haverhill High School,9236,67787,0.036,0.232,0.928,0.697,0.049,0.107,81304,69426,43214,33918,536.9,1846.5
Beverly-Saugus,16.36371154,10.167938912426532,Beverly,Saugus,3,42.564813,-70.881187,30,42.460813,-71.022437,300000.0,Beverly,2620000.0,Saugus,16.4,17.0,3.5,2.5,14.9,75.0,0.1,0.0,4.0,5.4,5.5,22.8,62.5,0.8,0.4,2.6,56.5,50.6,75.1,63.0,36.9,36.3,91.0,87.7,4.8,7.3,Beverly High School,Saugus High School,42670,28619,0.051,0.086,0.885,0.833,0.08,0.132,80586,88667,45803,39790,2617.2,2467.0
Georgetown-Danvers,16.41794196,10.201636133036132,Georgetown,Danvers,7,42.724063,-70.986438,5,42.582062,-70.931438,1050000.0,Georgetown,710000.0,Danvers,14.9,16.8,0.8,1.0,2.4,93.7,0.0,0.2,2.0,2.3,2.4,9.1,83.6,0.1,0.0,2.6,87.2,55.7,82.6,70.9,41.1,39.3,95.5,95.8,2.7,0.8,Georgetown High School,Danvers High School,8470,28087,0.035,0.051,0.932,0.876,0.037,0.105,128466,89250,53243,44005,636.3,1995.6
Andover-Lynnfield,16.51844471,10.264085646401904,Andover,Lynnfield,2,42.657187,-71.155438,15,42.539063,-71.033062,90000.0,Andover,1640000.0,Lynnfield,12.3,17.6,2.7,19.0,7.9,66.5,0.1,0.1,3.7,1.9,6.9,5.8,82.2,0.0,0.0,3.2,74.4,67.0,81.1,85.4,52.4,44.0,95.2,97.5,0.9,1.3,Andover High School,Lynnfield High School,9735,13000,0.025,0.024,0.847,0.907,0.135,0.078,95600,128641,55457,63191,2376.6,1173.4
Gloucester-Ipswich,16.5539676,10.286158546833445,Gloucester,Ipswich,8,42.613438,-70.676187,12,42.688563,-70.850938,1070000.0,Gloucester,1440000.0,Ipswich,13.1,15.1,1.8,1.2,12.9,79.7,0.3,0.3,3.8,1.3,1.3,7.1,86.3,0.1,0.0,4.0,55.0,78.6,49.2,69.9,39.1,45.2,83.7,90.8,5.8,4.9,Gloucester High School,Ipswich High School,29729,13785,0.024,0.042,0.919,0.92,0.086,0.065,72574,93212,43321,52393,1099.0,410.3
Lynn-Boxford,16.67976375,10.36432465025636,Lynn,Boxford,14,42.476687,-70.943687,4,42.624813,-70.975813,1630000.0,Lynn,7050000.0,Masconomet,15.4,15.8,8.2,7.5,67.9,13.0,0.3,0.0,3.1,0.7,3.7,3.1,90.0,0.1,0.2,2.4,23.3,83.5,41.1,88.3,27.8,47.2,79.0,95.9,13.7,1.7,Lynn Classical High School + Lynn English High School,Masconomet Regional High School,101253,8203,0.428,0.024,0.359,0.935,0.367,0.046,56181,184007,26291,79705,8409.5,338.1
Topsfield-Swampscott,16.82956561,10.457407210268777,Topsfield,Swampscott,32,42.624813,-70.975813,31,42.479062,-70.920438,7050000.0,Masconomet,2910000.0,Swampscott,15.8,16.8,0.7,3.7,3.1,90.0,0.1,0.2,2.4,3.7,2.7,12.1,78.1,0.2,0.0,3.1,83.5,68.8,88.3,77.5,47.2,37.1,95.9,95.7,1.7,0.6,Masconomet Regional High School,Swampscott High School,6569,15111,0.017,0.025,0.948,0.917,0.077,0.129,136863,113407,53853,56405,510.4,4560.1
Groveland-Ipswich,16.90323931,10.50318592490948,Groveland,Ipswich,34,42.782938,-71.013188,12,42.688563,-70.850938,7450000.0,Pentucket,1440000.0,Ipswich,16.3,15.1,0.4,1.2,6.0,89.9,0.1,0.0,2.5,1.3,1.3,7.1,86.3,0.1,0.0,4.0,63.3,78.6,80.2,69.9,40.4,45.2,94.7,90.8,3.2,4.9,Pentucket Regional High School,Ipswich High School,6752,13785,0.032,0.042,0.959,0.92,0.025,0.065,103125,93212,44709,52393,727.1,410.3
North Andover-Rowley,17.05254634,10.595961011815945,North Andover,Rowley,24,42.700563,-71.116563,27,42.744187,-70.916438,2110000.0,North Andover,7730000.0,Triton,18.0,16.9,2.9,7.6,13.5,72.5,0.1,0.1,3.3,1.6,2.1,3.9,90.1,0.1,0.1,2.0,80.0,69.0,83.0,67.2,48.4,30.8,97.3,89.5,0.3,3.7,North Andover High School,Triton Regional High School,30915,6161,0.076,0.008,0.811,0.954,0.119,0.033,108070,115909,54939,54885,1077.8,321.6
Manchester-Swampscott,17.05663585,10.59850211551116,Manchester,Swampscott,6,42.582062,-70.766188,21,42.479062,-70.920438,6980000.0,Manchester Essex Regional,2910000.0,Swampscott,14.8,16.8,0.5,1.2,1.3,96.5,0.0,0.0,0.6,3.7,2.7,12.1,78.1,0.2,0.0,3.1,77.7,68.8,83.0,77.5,40.9,37.1,99.1,95.7,0.0,0.6,Manchester Essex Regional High School,Swampscott High School,5395,15111,0.015,0.025,0.971,0.917,0.078,0.129,148854,113407,74989,56405,556.5,4560.1
Topsfield-Marblehead,17.11518354,10.634881963318213,Topsfield,Marblehead,32,42.624813,-70.975813,17,42.492438,-70.869187,7050000.0,Masconomet,1680000.0,Marblehead,15.8,16.2,0.7,3.7,3.1,90.0,0.1,0.2,2.4,3.0,1.4,6.9,85.2,0.0,0.0,3.4,83.5,65.2,88.3,79.1,47.2,45.5,95.9,95.1,1.7,0.8,Masconomet Regional High School,Marblehead High School,6569,20441,0.017,0.05,0.948,0.911,0.077,0.105,136863,123333,53853,69148,510.4,4515.5
Peabody-Manchester,17.53771132,10.89742855278487,Peabody,Manchester,25,42.544562,-70.974187,16,42.582062,-70.766188,2290000.0,Peabody,6980000.0,Manchester Essex Regional,16.4,14.8,3.8,2.1,19.4,72.5,0.2,0.0,2.0,0.5,1.2,1.3,96.5,0.0,0.0,0.6,56.5,77.7,60.9,83.0,37.7,40.9,88.0,99.1,5.9,0.0,Peabody Veterans Memorial High School,Manchester Essex Regional High School,54481,5395,0.099,0.015,0.827,0.971,0.154,0.078,73217,148854,40095,74989,3161.4,556.5
Gloucester-Beverly,17.63170916,10.9558361024831,Gloucester,Beverly,8,42.613438,-70.676187,3,42.564813,-70.881187,1070000.0,Gloucester,300000.0,Beverly,13.1,16.4,1.8,1.2,12.9,79.7,0.3,0.3,3.8,3.5,2.5,14.9,75.0,0.1,0.0,4.0,55.0,56.5,49.2,75.1,39.1,36.9,83.7,91.0,5.8,4.8,Gloucester High School,Beverly High School,29729,42670,0.024,0.051,0.919,0.885,0.086,0.08,72574,80586,43321,45803,1099.0,2617.2
Swampscott-Hamilton,17.6690578,10.979043471364784,Swampscott,Hamilton,31,42.479062,-70.920438,33,42.628687,-70.847813,2910000.0,Swampscott,6750000.0,Hamilton-Wenham,16.8,11.8,3.7,2.7,12.1,78.1,0.2,0.0,3.1,0.5,3.7,5.2,87.8,0.0,0.2,2.7,68.8,62.1,77.5,81.5,37.1,57.1,95.7,97.2,0.6,0.7,Swampscott High School,Hamilton-Wenham Regional High School,15111,7561,0.025,0.015,0.917,0.91,0.129,0.096,113407,127813,56405,49347,4560.1,547.4
Boxford-Manchester,17.80328973,11.062451325444878,Boxford,Manchester,4,42.624813,-70.975813,16,42.582062,-70.766188,7050000.0,Masconomet,6980000.0,Manchester Essex Regional,15.8,14.8,0.7,3.7,3.1,90.0,0.1,0.2,2.4,0.5,1.2,1.3,96.5,0.0,0.0,0.6,83.5,77.7,88.3,83.0,47.2,40.9,95.9,99.1,1.7,0.0,Masconomet Regional High School,Manchester Essex Regional High School,8203,5395,0.024,0.015,0.935,0.971,0.046,0.078,184007,148854,79705,74989,338.1,556.5
Middleton-Merrimac,17.8459646,11.088968260199872,Middleton,Merrimac,20,42.624813,-70.975813,18,42.782938,-71.013188,7050000.0,Masconomet,7450000.0,Pentucket,15.8,16.3,0.7,3.7,3.1,90.0,0.1,0.2,2.4,0.4,1.2,6.0,89.9,0.1,0.0,2.5,83.5,63.3,88.3,80.2,47.2,40.4,95.9,94.7,1.7,3.2,Masconomet Regional High School,Pentucket Regional High School,9779,6723,0.062,0.024,0.903,0.956,0.085,0.033,125204,84609,52896,44616,667.9,749.3
Newbury-Danvers,18.06915233,11.227650685583374,Newbury,Danvers,22,42.744187,-70.916438,5,42.582062,-70.931438,7730000.0,Triton,710000.0,Danvers,16.9,16.8,1.6,2.1,3.9,90.1,0.1,0.1,2.0,2.3,2.4,9.1,83.6,0.1,0.0,2.6,69.0,55.7,67.2,70.9,30.8,39.3,89.5,95.8,3.7,0.8,Triton Regional High School,Danvers High School,6716,28087,0.03,0.051,0.921,0.876,0.04,0.105,101875,89250,57871,44005,285.4,1995.6
Lynnfield-Hamilton,18.14776653,11.276499284588269,Lynnfield,Hamilton,15,42.539063,-71.033062,10,42.628687,-70.847813,1640000.0,Lynnfield,6750000.0,Hamilton-Wenham,17.6,11.8,1.9,6.9,5.8,82.2,0.0,0.0,3.2,0.5,3.7,5.2,87.8,0.0,0.2,2.7,67.0,62.1,85.4,81.5,44.0,57.1,97.5,97.2,1.3,0.7,Lynnfield High School,Hamilton-Wenham Regional High School,13000,7561,0.024,0.015,0.907,0.91,0.078,0.096,128641,127813,63191,49347,1173.4,547.4
Andover-Groveland,18.1813666,11.297377400068251,Andover,Groveland,2,42.657187,-71.155438,34,42.782938,-71.013188,90000.0,Andover,7450000.0,Pentucket,12.3,16.3,2.7,19.0,7.9,66.5,0.1,0.1,3.7,0.4,1.2,6.0,89.9,0.1,0.0,2.5,74.4,63.3,81.1,80.2,52.4,40.4,95.2,94.7,0.9,3.2,Andover High School,Pentucket Regional High School,9735,6752,0.025,0.032,0.847,0.959,0.135,0.025,95600,103125,55457,44709,2376.6,727.1
Newburyport-Haverhill,18.2408268,11.334324255299892,Newburyport,Haverhill,23,42.813187,-70.886188,11,42.787188,-71.106938,2040000.0,Newburyport,1280000.0,Haverhill,14.0,17.2,0.9,1.9,4.3,90.3,0.0,0.0,2.6,5.2,1.8,40.9,49.7,0.2,0.1,2.1,62.0,48.4,81.5,56.9,43.4,28.5,94.6,80.4,0.5,7.7,Newburyport High School,Haverhill High School,18289,67787,0.028,0.232,0.924,0.697,0.075,0.107,109839,69426,64018,33918,2086.2,1846.5
Saugus-Boxford,18.63170692,11.577205900611634,Saugus,Boxford,30,42.460813,-71.022437,4,42.624813,-70.975813,2620000.0,Saugus,7050000.0,Masconomet,17.0,15.8,5.4,5.5,22.8,62.5,0.8,0.4,2.6,0.7,3.7,3.1,90.0,0.1,0.2,2.4,50.6,83.5,63.0,88.3,36.3,47.2,87.7,95.9,7.3,1.7,Saugus High School,Masconomet Regional High School,28619,8203,0.086,0.024,0.833,0.935,0.132,0.046,88667,184007,39790,79705,2467.0,338.1
Lynn-Hamilton,18.63702611,11.58051109203177,Lynn,Hamilton,14,42.476687,-70.943687,33,42.628687,-70.847813,1630000.0,Lynn,6750000.0,Hamilton-Wenham,15.4,11.8,8.2,7.5,67.9,13.0,0.3,0.0,3.1,0.5,3.7,5.2,87.8,0.0,0.2,2.7,23.3,62.1,41.1,81.5,27.8,57.1,79.0,97.2,13.7,0.7,Lynn Classical High School + Lynn English High School,Hamilton-Wenham Regional High School,101253,7561,0.428,0.015,0.359,0.91,0.367,0.096,56181,127813,26291,49347,8409.5,547.4
Lynn-Manchester,18.67733307,11.605556675732252,Lynn,Manchester,14,42.476687,-70.943687,6,42.582062,-70.766188,1630000.0,Lynn,6980000.0,Manchester Essex Regional,15.4,14.8,8.2,7.5,67.9,13.0,0.3,0.0,3.1,0.5,1.2,1.3,96.5,0.0,0.0,0.6,23.3,77.7,41.1,83.0,27.8,40.9,79.0,99.1,13.7,0.0,Lynn Classical High School + Lynn English High School,Manchester Essex Regional High School,101253,5395,0.428,0.015,0.359,0.971,0.367,0.078,56181,148854,26291,74989,8409.5,556.5
Ipswich-Peabody,18.92359937,11.758579459620153,Ipswich,Peabody,12,42.688563,-70.850938,25,42.544562,-70.974187,1440000.0,Ipswich,2290000.0,Peabody,15.1,16.4,1.3,1.3,7.1,86.3,0.1,0.0,4.0,3.8,2.1,19.4,72.5,0.2,0.0,2.0,78.6,56.5,69.9,60.9,45.2,37.7,90.8,88.0,4.9,5.9,Ipswich High School,Peabody Veterans Memorial High School,13785,54481,0.042,0.099,0.92,0.827,0.065,0.154,93212,73217,52393,40095,410.3,3161.4
Lynnfield-North Andover,19.21381571,11.938911532163392,Lynnfield,North Andover,15,42.539063,-71.033062,24,42.700563,-71.116563,1640000.0,Lynnfield,2110000.0,North Andover,17.6,18.0,1.9,6.9,5.8,82.2,0.0,0.0,3.2,2.9,7.6,13.5,72.5,0.1,0.1,3.3,67.0,80.0,85.4,83.0,44.0,48.4,97.5,97.3,1.3,0.3,Lynnfield High School,North Andover High School,13000,30915,0.024,0.076,0.907,0.811,0.078,0.119,128641,108070,63191,54939,1173.4,1077.8
Lynnfield-Lawrence,19.23872238,11.95438781934023,Lynnfield,Lawrence,15,42.539063,-71.033062,13,42.691187,-71.145062,1640000.0,Lynnfield,1490000.0,Lawrence,17.6,17.9,1.9,6.9,5.8,82.2,0.0,0.0,3.2,1.3,1.2,93.8,3.2,0.0,0.0,0.4,67.0,23.8,85.4,45.7,44.0,19.6,97.5,72.8,1.3,8.8,Lynnfield High School,Lawrence High School,13000,89143,0.024,0.806,0.907,0.148,0.078,0.406,128641,44613,63191,20858,1173.4,11028.0
Andover-Peabody,19.41436528,12.063527257128282,Andover,Peabody,2,42.657187,-71.155438,25,42.544562,-70.974187,90000.0,Andover,2290000.0,Peabody,12.3,16.4,2.7,19.0,7.9,66.5,0.1,0.1,3.7,3.8,2.1,19.4,72.5,0.2,0.0,2.0,74.4,56.5,81.1,60.9,52.4,37.7,95.2,88.0,0.9,5.9,Andover High School,Peabody Veterans Memorial High School,9735,54481,0.025,0.099,0.847,0.827,0.135,0.154,95600,73217,55457,40095,2376.6,3161.4
Ipswich-Amesbury,19.55181647,12.148935466625495,Ipswich,Amesbury,12,42.688563,-70.850938,1,42.851062,-70.942437,1440000.0,Ipswich,70000.0,Amesbury,15.1,15.1,1.3,1.3,7.1,86.3,0.1,0.0,4.0,1.9,1.2,9.7,82.6,0.2,0.1,4.3,78.6,58.7,69.9,67.5,45.2,33.3,90.8,87.9,4.9,3.0,Ipswich High School,Amesbury High School,13785,17366,0.042,0.025,0.92,0.938,0.065,0.043,93212,82468,52393,42607,410.3,1327.8
Lawrence-Rowley,19.58524787,12.169708775426864,Lawrence,Rowley,13,42.691187,-71.145062,27,42.744187,-70.916438,1490000.0,Lawrence,7730000.0,Triton,17.9,16.9,1.3,1.2,93.8,3.2,0.0,0.0,0.4,1.6,2.1,3.9,90.1,0.1,0.1,2.0,23.8,69.0,45.7,67.2,19.6,30.8,72.8,89.5,8.8,3.7,Lawrence High School,Triton Regional High School,89143,6161,0.806,0.008,0.148,0.954,0.406,0.033,44613,115909,20858,54885,11028.0,321.6
Hamilton-Rockport,19.66264629,12.217801923766386,Hamilton,Rockport,10,42.628687,-70.847813,26,42.652187,-70.609562,6750000.0,Hamilton-Wenham,2520000.0,Rockport,11.8,14.7,0.5,3.7,5.2,87.8,0.0,0.2,2.7,0.7,1.8,3.6,90.4,0.0,0.1,3.4,62.1,38.8,81.5,66.7,57.1,48.0,97.2,94.9,0.7,1.3,Hamilton-Wenham Regional High School,Rockport High School,7561,6992,0.015,0.007,0.91,0.965,0.096,0.029,127813,85208,49347,51122,547.4,994.4
Beverly-Georgetown,19.68946448,12.234465974400331,Beverly,Georgetown,3,42.564813,-70.881187,7,42.724063,-70.986438,300000.0,Beverly,1050000.0,Georgetown,16.4,14.9,3.5,2.5,14.9,75.0,0.1,0.0,4.0,0.8,1.0,2.4,93.7,0.0,0.2,2.0,56.5,87.2,75.1,82.6,36.9,41.1,91.0,95.5,4.8,2.7,Beverly High School,Georgetown High School,42670,8470,0.051,0.035,0.885,0.932,0.08,0.037,80586,128466,45803,53243,2617.2,636.3
Georgetown-Peabody,19.98474532,12.41794498133533,Georgetown,Peabody,7,42.724063,-70.986438,25,42.544562,-70.974187,1050000.0,Georgetown,2290000.0,Peabody,14.9,16.4,0.8,1.0,2.4,93.7,0.0,0.2,2.0,3.8,2.1,19.4,72.5,0.2,0.0,2.0,87.2,56.5,82.6,60.9,41.1,37.7,95.5,88.0,2.7,5.9,Georgetown High School,Peabody Veterans Memorial High School,8470,54481,0.035,0.099,0.932,0.827,0.037,0.154,128466,73217,53243,40095,636.3,3161.4
Methuen-Topsfield,20.02362113,12.442101289657243,Methuen,Topsfield,19,42.733063,-71.171563,32,42.624813,-70.975813,1810000.0,Methuen,7050000.0,Masconomet,18.3,15.8,3.8,3.7,46.0,42.6,0.1,0.1,3.9,0.7,3.7,3.1,90.0,0.1,0.2,2.4,46.2,83.5,60.0,88.3,29.0,47.2,93.2,95.9,2.7,1.7,Methuen High School,Masconomet Regional High School,53059,6569,0.295,0.017,0.609,0.948,0.223,0.077,77484,136863,35387,53853,2124.0,510.4
North Andover-Danvers,20.07286678,12.472701117800066,North Andover,Danvers,24,42.700563,-71.116563,5,42.582062,-70.931438,2110000.0,North Andover,710000.0,Danvers,18.0,16.8,2.9,7.6,13.5,72.5,0.1,0.1,3.3,2.3,2.4,9.1,83.6,0.1,0.0,2.6,80.0,55.7,83.0,70.9,48.4,39.3,97.3,95.8,0.3,0.8,North Andover High School,Danvers High School,30915,28087,0.076,0.051,0.811,0.876,0.119,0.105,108070,89250,54939,44005,1077.8,1995.6
Andover-Danvers,20.14253039,12.515988078045464,Andover,Danvers,2,42.657187,-71.155438,5,42.582062,-70.931438,90000.0,Andover,710000.0,Danvers,12.3,16.8,2.7,19.0,7.9,66.5,0.1,0.1,3.7,2.3,2.4,9.1,83.6,0.1,0.0,2.6,74.4,55.7,81.1,70.9,52.4,39.3,95.2,95.8,0.9,0.8,Andover High School,Danvers High School,9735,28087,0.025,0.051,0.847,0.876,0.135,0.105,95600,89250,55457,44005,2376.6,1995.6
Rockport-Ipswich,20.14460863,12.51727943650737,Rockport,Ipswich,26,42.652187,-70.609562,12,42.688563,-70.850938,2520000.0,Rockport,1440000.0,Ipswich,14.7,15.1,0.7,1.8,3.6,90.4,0.0,0.1,3.4,1.3,1.3,7.1,86.3,0.1,0.0,4.0,38.8,78.6,66.7,69.9,48.0,45.2,94.9,90.8,1.3,4.9,Rockport High School,Ipswich High School,6992,13785,0.007,0.042,0.965,0.92,0.029,0.065,85208,93212,51122,52393,994.4,410.3
Newbury-Beverly,20.15272963,12.52232559194136,Newbury,Beverly,22,42.744187,-70.916438,3,42.564813,-70.881187,7730000.0,Triton,300000.0,Beverly,16.9,16.4,1.6,2.1,3.9,90.1,0.1,0.1,2.0,3.5,2.5,14.9,75.0,0.1,0.0,4.0,69.0,56.5,67.2,75.1,30.8,36.9,89.5,91.0,3.7,4.8,Triton Regional High School,Beverly High School,6716,42670,0.03,0.051,0.921,0.885,0.04,0.08,101875,80586,57871,45803,285.4,2617.2
Newburyport-Hamilton,20.75359803,12.895687904682754,Newburyport,Hamilton,23,42.813187,-70.886188,10,42.628687,-70.847813,2040000.0,Newburyport,6750000.0,Hamilton-Wenham,14.0,11.8,0.9,1.9,4.3,90.3,0.0,0.0,2.6,0.5,3.7,5.2,87.8,0.0,0.2,2.7,62.0,62.1,81.5,81.5,43.4,57.1,94.6,97.2,0.5,0.7,Newburyport High School,Hamilton-Wenham Regional High School,18289,7561,0.028,0.015,0.924,0.91,0.075,0.096,109839,127813,64018,49347,2086.2,547.4
Gloucester-Marblehead,20.75935402,12.899264511038684,Gloucester,Marblehead,8,42.613438,-70.676187,17,42.492438,-70.869187,1070000.0,Gloucester,1680000.0,Marblehead,13.1,16.2,1.8,1.2,12.9,79.7,0.3,0.3,3.8,3.0,1.4,6.9,85.2,0.0,0.0,3.4,55.0,65.2,49.2,79.1,39.1,45.5,83.7,95.1,5.8,0.8,Gloucester High School,Marblehead High School,29729,20441,0.024,0.05,0.919,0.911,0.086,0.105,72574,123333,43321,69148,1099.0,4515.5
Ipswich-Salem,20.86410784,12.964355516829128,Ipswich,Salem,12,42.688563,-70.850938,28,42.506312,-70.911563,1440000.0,Ipswich,2580000.0,Salem,15.1,13.5,1.3,1.3,7.1,86.3,0.1,0.0,4.0,6.6,2.6,43.9,42.4,0.0,0.0,4.5,78.6,56.1,69.9,50.2,45.2,27.3,90.8,73.9,4.9,10.9,Ipswich High School,Salem High School,13785,44480,0.042,0.178,0.92,0.718,0.065,0.146,93212,68808,52393,38400,410.3,4992.9
Newbury-Methuen,20.87220418,12.969386349249572,Newbury,Methuen,22,42.744187,-70.916438,19,42.733063,-71.171563,7730000.0,Triton,1810000.0,Methuen,16.9,18.3,1.6,2.1,3.9,90.1,0.1,0.1,2.0,3.8,3.7,46.0,42.6,0.1,0.1,3.9,69.0,46.2,67.2,60.0,30.8,29.0,89.5,93.2,3.7,2.7,Triton Regional High School,Methuen High School,6716,53059,0.03,0.295,0.921,0.609,0.04,0.223,101875,77484,57871,35387,285.4,2124.0
Peabody-North Andover,20.89515315,12.983646178047747,Peabody,North Andover,25,42.544562,-70.974187,24,42.700563,-71.116563,2290000.0,Peabody,2110000.0,North Andover,16.4,18.0,3.8,2.1,19.4,72.5,0.2,0.0,2.0,2.9,7.6,13.5,72.5,0.1,0.1,3.3,56.5,80.0,60.9,83.0,37.7,48.4,88.0,97.3,5.9,0.3,Peabody Veterans Memorial High School,North Andover High School,54481,30915,0.099,0.076,0.827,0.811,0.154,0.119,73217,108070,40095,54939,3161.4,1077.8
Lynnfield-Georgetown,20.92168847,13.00013446141318,Lynnfield,Georgetown,15,42.539063,-71.033062,7,42.724063,-70.986438,1640000.0,Lynnfield,1050000.0,Georgetown,17.6,14.9,1.9,6.9,5.8,82.2,0.0,0.0,3.2,0.8,1.0,2.4,93.7,0.0,0.2,2.0,67.0,87.2,85.4,82.6,44.0,41.1,97.5,95.5,1.3,2.7,Lynnfield High School,Georgetown High School,13000,8470,0.024,0.035,0.907,0.932,0.078,0.037,128641,128466,63191,53243,1173.4,636.3
Middleton-Haverhill,20.99499361,13.045684163488096,Middleton,Haverhill,20,42.624813,-70.975813,11,42.787188,-71.106938,7050000.0,Masconomet,1280000.0,Haverhill,15.8,17.2,0.7,3.7,3.1,90.0,0.1,0.2,2.4,5.2,1.8,40.9,49.7,0.2,0.1,2.1,83.5,48.4,88.3,56.9,47.2,28.5,95.9,80.4,1.7,7.7,Masconomet Regional High School,Haverhill High School,9779,67787,0.062,0.232,0.903,0.697,0.085,0.107,125204,69426,52896,33918,667.9,1846.5
Gloucester-Danvers,21.18239826,13.162132013870128,Gloucester,Danvers,8,42.613438,-70.676187,5,42.582062,-70.931438,1070000.0,Gloucester,710000.0,Danvers,13.1,16.8,1.8,1.2,12.9,79.7,0.3,0.3,3.8,2.3,2.4,9.1,83.6,0.1,0.0,2.6,55.0,55.7,49.2,70.9,39.1,39.3,83.7,95.8,5.8,0.8,Gloucester High School,Danvers High School,29729,28087,0.024,0.051,0.919,0.876,0.086,0.105,72574,89250,43321,44005,1099.0,1995.6
Danvers-Lawrence,21.27461202,13.219430987655702,Danvers,Lawrence,5,42.582062,-70.931438,13,42.691187,-71.145062,710000.0,Danvers,1490000.0,Lawrence,16.8,17.9,2.3,2.4,9.1,83.6,0.1,0.0,2.6,1.3,1.2,93.8,3.2,0.0,0.0,0.4,55.7,23.8,70.9,45.7,39.3,19.6,95.8,72.8,0.8,8.8,Danvers High School,Lawrence High School,28087,89143,0.051,0.806,0.876,0.148,0.105,0.406,89250,44613,44005,20858,1995.6,11028.0
Lawrence-Peabody,21.47833968,13.34602148618582,Lawrence,Peabody,13,42.691187,-71.145062,25,42.544562,-70.974187,1490000.0,Lawrence,2290000.0,Peabody,17.9,16.4,1.3,1.2,93.8,3.2,0.0,0.0,0.4,3.8,2.1,19.4,72.5,0.2,0.0,2.0,23.8,56.5,45.7,60.9,19.6,37.7,72.8,88.0,8.8,5.9,Lawrence High School,Peabody Veterans Memorial High School,89143,54481,0.806,0.099,0.148,0.827,0.406,0.154,44613,73217,20858,40095,11028.0,3161.4
Ipswich-North Andover,21.74941087,13.514457314090834,Ipswich,North Andover,12,42.688563,-70.850938,24,42.700563,-71.116563,1440000.0,Ipswich,2110000.0,North Andover,15.1,18.0,1.3,1.3,7.1,86.3,0.1,0.0,4.0,2.9,7.6,13.5,72.5,0.1,0.1,3.3,78.6,80.0,69.9,83.0,45.2,48.4,90.8,97.3,4.9,0.3,Ipswich High School,North Andover High School,13785,30915,0.042,0.076,0.92,0.811,0.065,0.119,93212,108070,52393,54939,410.3,1077.8
