school_to_school,distance,distance_mi,town_1,town_2,loc1,lat1,lon1,loc2,lat2,lon2,district_code_x,district_name_x,district_code_y,district_name_y,avg_class_size_x,avg_class_size_y,african_american_pct_x,asian_pct_x,hispanic_pct_x,white_pct_x,native_american_pct_x,nhpi_pct_x,mrnh_pct_x,african_american_pct_y,asian_pct_y,hispanic_pct_y,white_pct_y,native_american_pct_y,nhpi_pct_y,mrnh_pct_y,ap_pct_score_3-5_x,ap_pct_score_3-5_y,attend_uni_(pct)_x,attend_uni_(pct)_y,private_four-year_(pct)_x,private_four-year_(pct)_y,pct_graduated_x,pct_graduated_y,pct_dropped_out_x,pct_dropped_out_y,school_name_x,school_name_y,pop_census_2020_x,pop_census_2020_y,hisp_latino_pct_x,hisp_latino_pct_y,white_pop_nhl_x,white_pop_nhl_y,foreign_born_pct_x,foreign_born_pct_y,median_household_income_x,median_household_income_y,per_cap_income_12_mos_x,per_cap_income_12_mos_y,pop_sq_mo_2010_x,pop_sq_mo_2010_y
Salem-Beverly,6.964883394,4.327777882741018,Salem,Beverly,28,42.506312,-70.911563,3,42.564813,-70.881187,2580000.0,Salem,300000.0,Beverly,13.5,16.4,6.6,2.6,43.9,42.4,0.0,0.0,4.5,3.5,2.5,14.9,75.0,0.1,0.0,4.0,56.1,56.5,50.2,75.1,27.3,36.9,73.9,91.0,10.9,4.8,Salem High School,Beverly High School,44480,42670,0.178,0.051,0.718,0.885,0.146,0.08,68808,80586,38400,45803,4992.9,2617.2
Beverly-Hamilton,7.609717832,4.72845942483406,Beverly,Hamilton,3,42.564813,-70.881187,33,42.628687,-70.847813,300000.0,Beverly,6750000.0,Hamilton-Wenham,16.4,11.8,3.5,2.5,14.9,75.0,0.1,0.0,4.0,0.5,3.7,5.2,87.8,0.0,0.2,2.7,56.5,62.1,75.1,81.5,36.9,57.1,91.0,97.2,4.8,0.7,Beverly High School,Hamilton-Wenham Regional High School,42670,7561,0.051,0.015,0.885,0.91,0.08,0.096,80586,127813,45803,49347,2617.2,547.4
Haverhill-Groveland,7.665212352,4.762942120764938,Haverhill,Groveland,11,42.787188,-71.106938,9,42.782938,-71.013188,1280000.0,Haverhill,7450000.0,Pentucket,17.2,16.3,5.2,1.8,40.9,49.7,0.2,0.1,2.1,0.4,1.2,6.0,89.9,0.1,0.0,2.5,48.4,63.3,56.9,80.2,28.5,40.4,80.4,94.7,7.7,3.2,Haverhill High School,Pentucket Regional High School,67787,6752,0.232,0.032,0.697,0.959,0.107,0.025,69426,103125,33918,44709,1846.5,727.1
Peabody-Beverly,7.943461439,4.935838087070542,Peabody,Beverly,25,42.544562,-70.974187,3,42.564813,-70.881187,2290000.0,Peabody,300000.0,Beverly,16.4,16.4,3.8,2.1,19.4,72.5,0.2,0.0,2.0,3.5,2.5,14.9,75.0,0.1,0.0,4.0,56.5,56.5,60.9,75.1,37.7,36.9,88.0,91.0,5.9,4.8,Peabody Veterans Memorial High School,Beverly High School,54481,42670,0.099,0.051,0.827,0.885,0.154,0.08,73217,80586,40095,45803,3161.4,2617.2
Lynn-Peabody,7.950637,4.94029677394803,Lynn,Peabody,14,42.476687,-70.943687,25,42.544562,-70.974187,1630000.0,Lynn,2290000.0,Peabody,15.4,16.4,8.2,7.5,67.9,13.0,0.3,0.0,3.1,3.8,2.1,19.4,72.5,0.2,0.0,2.0,23.3,56.5,41.1,60.9,27.8,37.7,79.0,88.0,13.7,5.9,Lynn Classical High School + Lynn English High School,Peabody Veterans Memorial High School,101253,54481,0.428,0.099,0.359,0.827,0.367,0.154,56181,73217,26291,40095,8409.5,3161.4
Haverhill-Methuen,8.003572875,4.97318960159047,Haverhill,Methuen,11,42.787188,-71.106938,19,42.733063,-71.171563,1280000.0,Haverhill,1810000.0,Methuen,17.2,18.3,5.2,1.8,40.9,49.7,0.2,0.1,2.1,3.8,3.7,46.0,42.6,0.1,0.1,3.9,48.4,46.2,56.9,60.0,28.5,29.0,80.4,93.2,7.7,2.7,Haverhill High School,Methuen High School,67787,53059,0.232,0.295,0.697,0.609,0.107,0.223,69426,77484,33918,35387,1846.5,2124.0
Newburyport-Newbury,8.059884897,5.008180269711917,Newburyport,Newbury,23,42.813187,-70.886188,22,42.744187,-70.916438,2040000.0,Newburyport,7730000.0,Triton,14.0,16.9,0.9,1.9,4.3,90.3,0.0,0.0,2.6,1.6,2.1,3.9,90.1,0.1,0.1,2.0,62.0,69.0,81.5,67.2,43.4,30.8,94.6,89.5,0.5,3.7,Newburyport High School,Triton Regional High School,18289,6716,0.028,0.03,0.924,0.921,0.075,0.04,109839,101875,64018,57871,2086.2,285.4
Marblehead-Beverly,8.107585089,5.037819794778186,Marblehead,Beverly,17,42.492438,-70.869187,3,42.564813,-70.881187,1680000.0,Marblehead,300000.0,Beverly,16.2,16.4,3.0,1.4,6.9,85.2,0.0,0.0,3.4,3.5,2.5,14.9,75.0,0.1,0.0,4.0,65.2,56.5,79.1,75.1,45.5,36.9,95.1,91.0,0.8,4.8,Marblehead High School,Beverly High School,20441,42670,0.05,0.051,0.911,0.885,0.105,0.08,123333,80586,69148,45803,4515.5,2617.2
Gloucester-Manchester,8.151249765,5.06495176646527,Gloucester,Manchester,8,42.613438,-70.676187,6,42.582062,-70.766188,1070000.0,Gloucester,6980000.0,Manchester Essex Regional,13.1,14.8,1.8,1.2,12.9,79.7,0.3,0.3,3.8,0.5,1.2,1.3,96.5,0.0,0.0,0.6,55.0,77.7,49.2,83.0,39.1,40.9,83.7,99.1,5.8,0.0,Gloucester High School,Manchester Essex Regional High School,29729,5395,0.024,0.015,0.919,0.971,0.086,0.078,72574,148854,43321,74989,1099.0,556.5
Newbury-Ipswich,8.178663219,5.0819856969992605,Newbury,Ipswich,22,42.744187,-70.916438,12,42.688563,-70.850938,7730000.0,Triton,1440000.0,Ipswich,16.9,15.1,1.6,2.1,3.9,90.1,0.1,0.1,2.0,1.3,1.3,7.1,86.3,0.1,0.0,4.0,69.0,78.6,67.2,69.9,30.8,45.2,89.5,90.8,3.7,4.9,Triton Regional High School,Ipswich High School,6716,13785,0.03,0.042,0.921,0.92,0.04,0.065,101875,93212,57871,52393,285.4,410.3
Hamilton-Manchester,8.456185822,5.254430247077268,Hamilton,Manchester,10,42.628687,-70.847813,6,42.582062,-70.766188,6750000.0,Hamilton-Wenham,6980000.0,Manchester Essex Regional,11.8,14.8,0.5,3.7,5.2,87.8,0.0,0.2,2.7,0.5,1.2,1.3,96.5,0.0,0.0,0.6,62.1,77.7,81.5,83.0,57.1,40.9,97.2,99.1,0.7,0.0,Hamilton-Wenham Regional High School,Manchester Essex Regional High School,7561,5395,0.015,0.015,0.91,0.971,0.096,0.078,127813,148854,49347,74989,547.4,556.5
Peabody-Swampscott,8.512062805,5.289150594497587,Peabody,Swampscott,25,42.544562,-70.974187,21,42.479062,-70.920438,2290000.0,Peabody,2910000.0,Swampscott,16.4,16.8,3.8,2.1,19.4,72.5,0.2,0.0,2.0,3.7,2.7,12.1,78.1,0.2,0.0,3.1,56.5,68.8,60.9,77.5,37.7,37.1,88.0,95.7,5.9,0.6,Peabody Veterans Memorial High School,Swampscott High School,54481,15111,0.099,0.025,0.827,0.917,0.154,0.129,73217,113407,40095,56405,3161.4,4560.1
Methuen-Andover,8.539324166,5.306090018823177,Methuen,Andover,19,42.733063,-71.171563,2,42.657187,-71.155438,1810000.0,Methuen,90000.0,Andover,18.3,12.3,3.8,3.7,46.0,42.6,0.1,0.1,3.9,2.7,19.0,7.9,66.5,0.1,0.1,3.7,46.2,74.4,60.0,81.1,29.0,52.4,93.2,95.2,2.7,0.9,Methuen High School,Andover High School,53059,9735,0.295,0.025,0.609,0.847,0.223,0.135,77484,95600,35387,55457,2124.0,2376.6
Danvers-Salem,8.578946678,5.330710306255406,Danvers,Salem,5,42.582062,-70.931438,28,42.506312,-70.911563,710000.0,Danvers,2580000.0,Salem,16.8,13.5,2.3,2.4,9.1,83.6,0.1,0.0,2.6,6.6,2.6,43.9,42.4,0.0,0.0,4.5,55.7,56.1,70.9,50.2,39.3,27.3,95.8,73.9,0.8,10.9,Danvers High School,Salem High School,28087,44480,0.051,0.178,0.876,0.718,0.105,0.146,89250,68808,44005,38400,1995.6,4992.9
