school_to_school,distance_mi,town_x,town_y,1979_x,1989_x,1999_x,2009_x,2019_x,1979_y,1989_y,1999_y,2009_y,2019_y,town_ num_x,town_ num_y
Newbury-Groveland,5.590551585369322,Newbury,Groveland,68671.0,84227.0,106459.0,98942.0,101875,73695.0,92413.0,98395.0,91531.0,103125,205.0,116.0
Amesbury-Groveland,5.917174839382962,Amesbury,Groveland,52538.0,72417.0,73840.0,81465.0,82468,73695.0,92413.0,98395.0,91531.0,103125,7.0,116.0
Danvers-Lynnfield,5.964400140329401,Danvers,Lynnfield,71502.0,83636.0,83617.0,81836.0,89250,101554.0,111927.0,114696.0,95180.0,128641,71.0,164.0
Beverly-Manchester,5.971410704235797,Beverly,,61261.0,75693.0,76796.0,72449.0,80586,,,,,148854,30.0,
Haverhill-North Andover,6.005102278445393,Haverhill,North Andover,49111.0,70613.0,70891.0,67325.0,69426,72562.0,98798.0,103461.0,99691.0,108070,128.0,210.0
Beverly-Swampscott,6.252890130243487,Beverly,Swampscott,61261.0,75693.0,76796.0,72449.0,80586,78559.0,95930.0,101129.0,98628.0,113407,30.0,291.0
Lynn-Lynnfield,6.268752525050366,Lynn,Lynnfield,46904.0,54573.0,53153.0,46944.0,56181,101554.0,111927.0,114696.0,95180.0,128641,163.0,164.0
Peabody-Saugus,6.286835159897371,Peabody,Saugus,67532.0,76069.0,77998.0,71192.0,73217,69615.0,80119.0,78669.0,77178.0,88667,229.0,262.0
Beverly-Middleton,6.352256480398708,Beverly,Middleton,61261.0,75693.0,76796.0,72449.0,80586,69693.0,88103.0,115790.0,95330.0,125204,30.0,184.0
Peabody-Marblehead,6.446932447408488,Peabody,Marblehead,67532.0,76069.0,77998.0,71192.0,73217,78288.0,101935.0,105225.0,105511.0,123333,229.0,168.0
Salem-Saugus,6.465266029224285,Salem,Saugus,49457.0,62394.0,62640.0,61917.0,68808,69615.0,80119.0,78669.0,77178.0,88667,258.0,262.0
Middleton-Hamilton,6.512709111452249,Middleton,Hamilton,69693.0,88103.0,115790.0,95330.0,125204,85278.0,93972.0,102425.0,108375.0,127813,184.0,119.0
Salem-Lynnfield,6.587860172732203,Salem,Lynnfield,49457.0,62394.0,62640.0,61917.0,68808,101554.0,111927.0,114696.0,95180.0,128641,258.0,164.0
Lynnfield-Boxford,6.601916701304433,Lynnfield,Boxford,101554.0,111927.0,114696.0,95180.0,128641,114726.0,150155.0,161052.0,155441.0,184007,164.0,38.0
Merrimac-Newburyport,6.769292675011802,Merrimac,Newburyport,59498.0,78814.0,83493.0,82061.0,84609,55904.0,73810.0,83301.0,82912.0,109839,180.0,206.0
North Andover-Georgetown,6.802750263821978,North Andover,Georgetown,72562.0,98798.0,103461.0,99691.0,108070,69406.0,85742.0,108485.0,110703.0,128466,210.0,105.0
Lynn-Beverly,6.870577048901468,Lynn,Beverly,46904.0,54573.0,53153.0,46944.0,56181,61261.0,75693.0,76796.0,72449.0,80586,163.0,30.0
Georgetown-Boxford,6.878720081064147,Georgetown,Boxford,69406.0,85742.0,108485.0,110703.0,128466,114726.0,150155.0,161052.0,155441.0,184007,105.0,38.0
Lawrence-Haverhill,6.909402253317068,Lawrence,Haverhill,39108.0,42398.0,39808.0,34372.0,44613,49111.0,70613.0,70891.0,67325.0,69426,149.0,128.0
Danvers-Marblehead,6.956299833777334,Danvers,Marblehead,71502.0,83636.0,83617.0,81836.0,89250,78288.0,101935.0,105225.0,105511.0,123333,71.0,168.0
Swampscott-Lynnfield,7.077581548126293,Swampscott,Lynnfield,78559.0,95930.0,101129.0,98628.0,113407,101554.0,111927.0,114696.0,95180.0,128641,291.0,164.0
Danvers-Swampscott,7.138617286692019,Danvers,Swampscott,71502.0,83636.0,83617.0,81836.0,89250,78559.0,95930.0,101129.0,98628.0,113407,71.0,291.0
Ipswich-Georgetown,7.303851120504134,Ipswich,Georgetown,67379.0,81012.0,81490.0,87819.0,93212,69406.0,85742.0,108485.0,110703.0,128466,144.0,105.0
