school_to_school,distance_mi,town_x,town_y,1979_x,1989_x,1999_x,2009_x,2019_x,1979_y,1989_y,1999_y,2009_y,2019_y,town_ num_x,town_ num_y
Lawrence-Amesbury,15.087670934599409,Lawrence,Amesbury,39108.0,42398.0,39808.0,34372.0,44613,52538.0,72417.0,73840.0,81465.0,82468,149.0,7.0
Methuen-Lynnfield,15.14039062640831,Methuen,Lynnfield,61849.0,72058.0,70598.0,67179.0,77484,101554.0,111927.0,114696.0,95180.0,128641,181.0,164.0
Saugus-Andover,15.162806374607642,Saugus,Andover,69615.0,80119.0,78669.0,77178.0,88667,88976.0,116723.0,124735.0,120621.0,95600,262.0,9.0
Gloucester-Salisbury,15.183458969627928,Gloucester,Salisbury,51063.0,62480.0,67888.0,65749.0,72574,53766.0,68193.0,70147.0,68369.0,81304,107.0,259.0
Beverly-North Andover,15.202946214049929,Beverly,North Andover,61261.0,75693.0,76796.0,72449.0,80586,72562.0,98798.0,103461.0,99691.0,108070,30.0,210.0
Gloucester-Boxford,15.254370502270476,Gloucester,Boxford,51063.0,62480.0,67888.0,65749.0,72574,114726.0,150155.0,161052.0,155441.0,184007,107.0,38.0
Beverly-Andover,15.336875510225218,Beverly,Andover,61261.0,75693.0,76796.0,72449.0,80586,88976.0,116723.0,124735.0,120621.0,95600,30.0,9.0
Rowley-Lynnfield,15.362293556244408,Rowley,Lynnfield,64467.0,91679.0,88384.0,81403.0,115909,101554.0,111927.0,114696.0,95180.0,128641,254.0,164.0
Lynn-Ipswich,15.380850893825723,Lynn,Ipswich,46904.0,54573.0,53153.0,46944.0,56181,67379.0,81012.0,81490.0,87819.0,93212,163.0,144.0
Methuen-Newburyport,15.49621321495254,Methuen,Newburyport,61849.0,72058.0,70598.0,67179.0,77484,55904.0,73810.0,83301.0,82912.0,109839,181.0,206.0
Saugus-Manchester,15.506799112025297,Saugus,,69615.0,80119.0,78669.0,77178.0,88667,,,,,148854,262.0,
Gloucester-Swampscott,15.517247717133625,Gloucester,Swampscott,51063.0,62480.0,67888.0,65749.0,72574,78559.0,95930.0,101129.0,98628.0,113407,107.0,291.0
Salem-Georgetown,15.519365983947756,Salem,Georgetown,49457.0,62394.0,62640.0,61917.0,68808,69406.0,85742.0,108485.0,110703.0,128466,258.0,105.0
Lawrence-Newburyport,15.606260090799044,Lawrence,Newburyport,39108.0,42398.0,39808.0,34372.0,44613,55904.0,73810.0,83301.0,82912.0,109839,149.0,206.0
Ipswich-Andover,15.619722899199228,Ipswich,Andover,67379.0,81012.0,81490.0,87819.0,93212,88976.0,116723.0,124735.0,120621.0,95600,144.0,9.0
Lawrence-Hamilton,15.70856348237175,Lawrence,Hamilton,39108.0,42398.0,39808.0,34372.0,44613,85278.0,93972.0,102425.0,108375.0,127813,149.0,119.0
Amesbury-Middleton,15.72378249702108,Amesbury,Middleton,52538.0,72417.0,73840.0,81465.0,82468,69693.0,88103.0,115790.0,95330.0,125204,7.0,184.0
Andover-Hamilton,15.758343218532286,Andover,Hamilton,88976.0,116723.0,124735.0,120621.0,95600,85278.0,93972.0,102425.0,108375.0,127813,9.0,119.0
Gloucester-Peabody,15.890522696154266,Gloucester,Peabody,51063.0,62480.0,67888.0,65749.0,72574,67532.0,76069.0,77998.0,71192.0,73217,107.0,229.0
Lawrence-Beverly,16.00590447862675,Lawrence,Beverly,39108.0,42398.0,39808.0,34372.0,44613,61261.0,75693.0,76796.0,72449.0,80586,149.0,30.0
Methuen-Danvers,16.053745356476842,Methuen,Danvers,61849.0,72058.0,70598.0,67179.0,77484,71502.0,83636.0,83617.0,81836.0,89250,181.0,71.0
Amesbury-Hamilton,16.097453923288366,Amesbury,Hamilton,52538.0,72417.0,73840.0,81465.0,82468,85278.0,93972.0,102425.0,108375.0,127813,7.0,119.0
Danvers-Newburyport,16.133658382863327,Danvers,Newburyport,71502.0,83636.0,83617.0,81836.0,89250,55904.0,73810.0,83301.0,82912.0,109839,71.0,206.0
Salem-Andover,16.204989390768823,Salem,Andover,49457.0,62394.0,62640.0,61917.0,68808,88976.0,116723.0,124735.0,120621.0,95600,258.0,9.0
Salem-Newbury,16.43744294243522,Salem,Newbury,49457.0,62394.0,62640.0,61917.0,68808,68671.0,84227.0,106459.0,98942.0,101875,258.0,205.0
Peabody-Methuen,16.439975632764526,Peabody,Methuen,67532.0,76069.0,77998.0,71192.0,73217,61849.0,72058.0,70598.0,67179.0,77484,229.0,181.0
Lynn-Andover,16.481500340819096,Lynn,Andover,46904.0,54573.0,53153.0,46944.0,56181,88976.0,116723.0,124735.0,120621.0,95600,163.0,9.0
Beverly-Groveland,16.495403844308367,Beverly,Groveland,61261.0,75693.0,76796.0,72449.0,80586,73695.0,92413.0,98395.0,91531.0,103125,30.0,116.0
Methuen-Ipswich,16.565586663887842,Methuen,Ipswich,61849.0,72058.0,70598.0,67179.0,77484,67379.0,81012.0,81490.0,87819.0,93212,181.0,144.0
Lynn-Gloucester,16.5739121803416,Lynn,Gloucester,46904.0,54573.0,53153.0,46944.0,56181,51063.0,62480.0,67888.0,65749.0,72574,163.0,107.0
Peabody-Groveland,16.58896113190994,Peabody,Groveland,67532.0,76069.0,77998.0,71192.0,73217,73695.0,92413.0,98395.0,91531.0,103125,229.0,116.0
Haverhill-Danvers,16.742845521517314,Haverhill,Danvers,49111.0,70613.0,70891.0,67325.0,69426,71502.0,83636.0,83617.0,81836.0,89250,128.0,71.0
Rockport-Newbury,16.829522160879524,Rockport,Newbury,53818.0,67268.0,72069.0,76745.0,85208,68671.0,84227.0,106459.0,98942.0,101875,252.0,205.0
Groveland-Lynnfield,16.880364255363606,Groveland,Lynnfield,73695.0,92413.0,98395.0,91531.0,103125,101554.0,111927.0,114696.0,95180.0,128641,116.0,164.0
Salem-North Andover,16.994939653374267,Salem,North Andover,49457.0,62394.0,62640.0,61917.0,68808,72562.0,98798.0,103461.0,99691.0,108070,258.0,210.0
Rockport-Danvers,17.068055413321378,Rockport,Danvers,53818.0,67268.0,72069.0,76745.0,85208,71502.0,83636.0,83617.0,81836.0,89250,252.0,71.0
Marblehead-Georgetown,17.078385759064822,Marblehead,Georgetown,78288.0,101935.0,105225.0,105511.0,123333,69406.0,85742.0,108485.0,110703.0,128466,168.0,105.0
Newburyport-Manchester,17.092291070744253,Newburyport,,55904.0,73810.0,83301.0,82912.0,109839,,,,,148854,206.0,
Lawrence-Saugus,17.09637317499067,Lawrence,Saugus,39108.0,42398.0,39808.0,34372.0,44613,69615.0,80119.0,78669.0,77178.0,88667,149.0,262.0
Haverhill-Hamilton,17.117663719384304,Haverhill,Hamilton,49111.0,70613.0,70891.0,67325.0,69426,85278.0,93972.0,102425.0,108375.0,127813,128.0,119.0
Andover-Swampscott,17.159933115955244,Andover,Swampscott,88976.0,116723.0,124735.0,120621.0,95600,78559.0,95930.0,101129.0,98628.0,113407,9.0,291.0
Beverly-Newburyport,17.162864608528,Beverly,Newburyport,61261.0,75693.0,76796.0,72449.0,80586,55904.0,73810.0,83301.0,82912.0,109839,30.0,206.0
Amesbury-Andover,17.210854155649013,Amesbury,Andover,52538.0,72417.0,73840.0,81465.0,82468,88976.0,116723.0,124735.0,120621.0,95600,7.0,9.0
Rockport-Marblehead,17.214476041323557,Rockport,Marblehead,53818.0,67268.0,72069.0,76745.0,85208,78288.0,101935.0,105225.0,105511.0,123333,252.0,168.0
Lynn-Georgetown,17.229769197983277,Lynn,Georgetown,46904.0,54573.0,53153.0,46944.0,56181,69406.0,85742.0,108485.0,110703.0,128466,163.0,105.0
Saugus-North Andover,17.24339387979217,Saugus,North Andover,69615.0,80119.0,78669.0,77178.0,88667,72562.0,98798.0,103461.0,99691.0,108070,262.0,210.0
Swampscott-Georgetown,17.25751644148076,Swampscott,Georgetown,78559.0,95930.0,101129.0,98628.0,113407,69406.0,85742.0,108485.0,110703.0,128466,291.0,105.0
Andover-Newburyport,17.403607755179664,Andover,Newburyport,88976.0,116723.0,124735.0,120621.0,95600,55904.0,73810.0,83301.0,82912.0,109839,9.0,206.0
Gloucester-Newburyport,17.439456653732286,Gloucester,Newburyport,51063.0,62480.0,67888.0,65749.0,72574,55904.0,73810.0,83301.0,82912.0,109839,107.0,206.0
Lawrence-Salem,17.441359298529775,Lawrence,Salem,39108.0,42398.0,39808.0,34372.0,44613,49457.0,62394.0,62640.0,61917.0,68808,149.0,258.0
Gloucester-Georgetown,17.51726905403272,Gloucester,Georgetown,51063.0,62480.0,67888.0,65749.0,72574,69406.0,85742.0,108485.0,110703.0,128466,107.0,105.0
Haverhill-Lynnfield,17.549864906635467,Haverhill,Lynnfield,49111.0,70613.0,70891.0,67325.0,69426,101554.0,111927.0,114696.0,95180.0,128641,128.0,164.0
Salisbury-Marblehead,17.559301459631794,Salisbury,Marblehead,53766.0,68193.0,70147.0,68369.0,81304,78288.0,101935.0,105225.0,105511.0,123333,259.0,168.0
Lynn-North Andover,17.793342757604016,Lynn,North Andover,46904.0,54573.0,53153.0,46944.0,56181,72562.0,98798.0,103461.0,99691.0,108070,163.0,210.0
Rockport-Newburyport,17.911944205966048,Rockport,Newburyport,53818.0,67268.0,72069.0,76745.0,85208,55904.0,73810.0,83301.0,82912.0,109839,252.0,206.0
Methuen-Hamilton,17.956172618128836,Methuen,Hamilton,61849.0,72058.0,70598.0,67179.0,77484,85278.0,93972.0,102425.0,108375.0,127813,181.0,119.0
Saugus-Ipswich,17.993398810778938,Saugus,Ipswich,69615.0,80119.0,78669.0,77178.0,88667,67379.0,81012.0,81490.0,87819.0,93212,262.0,144.0
Lawrence-Lynn,18.016548938946595,Lawrence,Lynn,39108.0,42398.0,39808.0,34372.0,44613,46904.0,54573.0,53153.0,46944.0,56181,149.0,163.0
Haverhill-Peabody,18.069702789019665,Haverhill,Peabody,49111.0,70613.0,70891.0,67325.0,69426,67532.0,76069.0,77998.0,71192.0,73217,128.0,229.0
North Andover-Swampscott,18.268783059518945,North Andover,Swampscott,72562.0,98798.0,103461.0,99691.0,108070,78559.0,95930.0,101129.0,98628.0,113407,210.0,291.0
Saugus-Georgetown,18.28075555882961,Saugus,Georgetown,69615.0,80119.0,78669.0,77178.0,88667,69406.0,85742.0,108485.0,110703.0,128466,262.0,105.0
Newbury-Swampscott,18.31949668550949,Newbury,Swampscott,68671.0,84227.0,106459.0,98942.0,101875,78559.0,95930.0,101129.0,98628.0,113407,205.0,291.0
Salem-Rockport,18.37551040891196,Salem,Rockport,49457.0,62394.0,62640.0,61917.0,68808,53818.0,67268.0,72069.0,76745.0,85208,258.0,252.0
Andover-Marblehead,18.48502227795016,Andover,Marblehead,88976.0,116723.0,124735.0,120621.0,95600,78288.0,101935.0,105225.0,105511.0,123333,9.0,168.0
Lynn-Newbury,18.534331766607817,Lynn,Newbury,46904.0,54573.0,53153.0,46944.0,56181,68671.0,84227.0,106459.0,98942.0,101875,163.0,205.0
Lawrence-Swampscott,18.584554664701063,Lawrence,Swampscott,39108.0,42398.0,39808.0,34372.0,44613,78559.0,95930.0,101129.0,98628.0,113407,149.0,291.0
Amesbury-Danvers,18.594489097577085,Amesbury,Danvers,52538.0,72417.0,73840.0,81465.0,82468,71502.0,83636.0,83617.0,81836.0,89250,7.0,71.0
Groveland-Manchester,18.708926594679557,Groveland,,73695.0,92413.0,98395.0,91531.0,103125,,,,,148854,116.0,
Rockport-Boxford,18.711609389647226,Rockport,Boxford,53818.0,67268.0,72069.0,76745.0,85208,114726.0,150155.0,161052.0,155441.0,184007,252.0,38.0
Methuen-Beverly,18.785638006009563,Methuen,Beverly,61849.0,72058.0,70598.0,67179.0,77484,61261.0,75693.0,76796.0,72449.0,80586,181.0,30.0
Gloucester-Lynnfield,18.87052226289195,Gloucester,Lynnfield,51063.0,62480.0,67888.0,65749.0,72574,101554.0,111927.0,114696.0,95180.0,128641,107.0,164.0
Peabody-Newburyport,19.090854751609864,Peabody,Newburyport,67532.0,76069.0,77998.0,71192.0,73217,55904.0,73810.0,83301.0,82912.0,109839,229.0,206.0
North Andover-Marblehead,19.10744090093772,North Andover,Marblehead,72562.0,98798.0,103461.0,99691.0,108070,78288.0,101935.0,105225.0,105511.0,123333,210.0,168.0
Haverhill-Beverly,19.17226391554763,Haverhill,Beverly,49111.0,70613.0,70891.0,67325.0,69426,61261.0,75693.0,76796.0,72449.0,80586,128.0,30.0
North Andover-Manchester,19.60006908182719,North Andover,,72562.0,98798.0,103461.0,99691.0,108070,,,,,148854,210.0,
Lawrence-Marblehead,19.63388197068381,Lawrence,Marblehead,39108.0,42398.0,39808.0,34372.0,44613,78288.0,101935.0,105225.0,105511.0,123333,149.0,168.0
Rockport-Georgetown,19.77429283323797,Rockport,Georgetown,53818.0,67268.0,72069.0,76745.0,85208,69406.0,85742.0,108485.0,110703.0,128466,252.0,105.0
Salem-Merrimac,19.79855980776882,Salem,Merrimac,49457.0,62394.0,62640.0,61917.0,68808,59498.0,78814.0,83493.0,82061.0,84609,258.0,180.0
Rockport-Swampscott,19.832944954636584,Rockport,Swampscott,53818.0,67268.0,72069.0,76745.0,85208,78559.0,95930.0,101129.0,98628.0,113407,252.0,291.0
Peabody-Rockport,19.98039290805461,Peabody,Rockport,67532.0,76069.0,77998.0,71192.0,73217,53818.0,67268.0,72069.0,76745.0,85208,229.0,252.0
Beverly-Amesbury,20.02087689393048,Beverly,Amesbury,61261.0,75693.0,76796.0,72449.0,80586,52538.0,72417.0,73840.0,81465.0,82468,30.0,7.0
Methuen-Saugus,20.282260549932783,Methuen,Saugus,61849.0,72058.0,70598.0,67179.0,77484,69615.0,80119.0,78669.0,77178.0,88667,181.0,262.0
Salisbury-Saugus,20.307828831078293,Salisbury,Saugus,53766.0,68193.0,70147.0,68369.0,81304,69615.0,80119.0,78669.0,77178.0,88667,259.0,262.0
Newburyport-Lynnfield,20.356616448714604,Newburyport,Lynnfield,55904.0,73810.0,83301.0,82912.0,109839,101554.0,111927.0,114696.0,95180.0,128641,206.0,164.0
Andover-Manchester,20.460129563002276,Andover,,88976.0,116723.0,124735.0,120621.0,95600,,,,,148854,9.0,
Salem-Methuen,20.498835495217957,Salem,Methuen,49457.0,62394.0,62640.0,61917.0,68808,61849.0,72058.0,70598.0,67179.0,77484,258.0,181.0
Gloucester-Saugus,20.54127361270812,Gloucester,Saugus,51063.0,62480.0,67888.0,65749.0,72574,69615.0,80119.0,78669.0,77178.0,88667,107.0,262.0
Amesbury-Manchester,20.6275022248012,Amesbury,,52538.0,72417.0,73840.0,81465.0,82468,,,,,148854,7.0,
Lawrence-Manchester,20.681324564641606,Lawrence,,39108.0,42398.0,39808.0,34372.0,44613,,,,,148854,149.0,
Gloucester-Merrimac,20.736345367951014,Gloucester,Merrimac,51063.0,62480.0,67888.0,65749.0,72574,59498.0,78814.0,83493.0,82061.0,84609,107.0,180.0
Lynn-Rockport,20.8839856108975,Lynn,Rockport,46904.0,54573.0,53153.0,46944.0,56181,53818.0,67268.0,72069.0,76745.0,85208,163.0,252.0
Lynn-Methuen,21.167875343829028,Lynn,Methuen,46904.0,54573.0,53153.0,46944.0,56181,61849.0,72058.0,70598.0,67179.0,77484,163.0,181.0
Peabody-Amesbury,21.238386179045992,Peabody,Amesbury,67532.0,76069.0,77998.0,71192.0,73217,52538.0,72417.0,73840.0,81465.0,82468,229.0,7.0
Salem-Newburyport,21.242177897894187,Salem,Newburyport,49457.0,62394.0,62640.0,61917.0,68808,55904.0,73810.0,83301.0,82912.0,109839,258.0,206.0
Gloucester-Amesbury,21.26372255824968,Gloucester,Amesbury,51063.0,62480.0,67888.0,65749.0,72574,52538.0,72417.0,73840.0,81465.0,82468,107.0,7.0
Groveland-Marblehead,21.36451126434109,Groveland,Marblehead,73695.0,92413.0,98395.0,91531.0,103125,78288.0,101935.0,105225.0,105511.0,123333,116.0,168.0
Lynn-Merrimac,21.4528307283514,Lynn,Merrimac,46904.0,54573.0,53153.0,46944.0,56181,59498.0,78814.0,83493.0,82061.0,84609,163.0,180.0
Groveland-Swampscott,21.51867720344836,Groveland,Swampscott,73695.0,92413.0,98395.0,91531.0,103125,78559.0,95930.0,101129.0,98628.0,113407,116.0,291.0
Methuen-Swampscott,21.70454772517829,Methuen,Swampscott,61849.0,72058.0,70598.0,67179.0,77484,78559.0,95930.0,101129.0,98628.0,113407,181.0,291.0
Amesbury-Rockport,21.77235614252541,Amesbury,Rockport,52538.0,72417.0,73840.0,81465.0,82468,53818.0,67268.0,72069.0,76745.0,85208,7.0,252.0
Salem-Haverhill,21.799231471755373,Salem,Haverhill,49457.0,62394.0,62640.0,61917.0,68808,49111.0,70613.0,70891.0,67325.0,69426,258.0,128.0
Amesbury-Lynnfield,22.042808363077896,Amesbury,Lynnfield,52538.0,72417.0,73840.0,81465.0,82468,101554.0,111927.0,114696.0,95180.0,128641,7.0,164.0
Newburyport-Marblehead,22.178447256449367,Newburyport,Marblehead,55904.0,73810.0,83301.0,82912.0,109839,78288.0,101935.0,105225.0,105511.0,123333,206.0,168.0
Saugus-Groveland,22.26165384218731,Saugus,Groveland,69615.0,80119.0,78669.0,77178.0,88667,73695.0,92413.0,98395.0,91531.0,103125,262.0,116.0
Haverhill-Manchester,22.36945438661742,Haverhill,,49111.0,70613.0,70891.0,67325.0,69426,,,,,148854,128.0,
Rockport-Groveland,22.392578038158675,Rockport,Groveland,53818.0,67268.0,72069.0,76745.0,85208,73695.0,92413.0,98395.0,91531.0,103125,252.0,116.0
Methuen-Marblehead,22.64541588297923,Methuen,Marblehead,61849.0,72058.0,70598.0,67179.0,77484,78288.0,101935.0,105225.0,105511.0,123333,181.0,168.0
Rockport-Lynnfield,22.91466328343544,Rockport,Lynnfield,53818.0,67268.0,72069.0,76745.0,85208,101554.0,111927.0,114696.0,95180.0,128641,252.0,164.0
Haverhill-Saugus,22.955894710502044,Haverhill,Saugus,49111.0,70613.0,70891.0,67325.0,69426,69615.0,80119.0,78669.0,77178.0,88667,128.0,262.0
Lynn-Haverhill,23.0026220104014,Lynn,Haverhill,46904.0,54573.0,53153.0,46944.0,56181,49111.0,70613.0,70891.0,67325.0,69426,163.0,128.0
Methuen-Manchester,23.089600480819158,Methuen,,61849.0,72058.0,70598.0,67179.0,77484,,,,,148854,181.0,
Newburyport-Swampscott,23.15133451011449,Newburyport,Swampscott,55904.0,73810.0,83301.0,82912.0,109839,78559.0,95930.0,101129.0,98628.0,113407,206.0,291.0
Gloucester-North Andover,23.172294105998617,Gloucester,North Andover,51063.0,62480.0,67888.0,65749.0,72574,72562.0,98798.0,103461.0,99691.0,108070,107.0,210.0
Haverhill-Swampscott,23.30482078720043,Haverhill,Swampscott,49111.0,70613.0,70891.0,67325.0,69426,78559.0,95930.0,101129.0,98628.0,113407,128.0,291.0
Lynn-Newburyport,23.432829441197484,Lynn,Newburyport,46904.0,54573.0,53153.0,46944.0,56181,55904.0,73810.0,83301.0,82912.0,109839,163.0,206.0
Haverhill-Marblehead,23.68056099428028,Haverhill,Marblehead,49111.0,70613.0,70891.0,67325.0,69426,78288.0,101935.0,105225.0,105511.0,123333,128.0,168.0
Salem-Amesbury,23.871491956767866,Salem,Amesbury,49457.0,62394.0,62640.0,61917.0,68808,52538.0,72417.0,73840.0,81465.0,82468,258.0,7.0
Lawrence-Gloucester,24.42470131212901,Lawrence,Gloucester,39108.0,42398.0,39808.0,34372.0,44613,51063.0,62480.0,67888.0,65749.0,72574,149.0,107.0
Gloucester-Andover,24.547384939302,Gloucester,Andover,51063.0,62480.0,67888.0,65749.0,72574,88976.0,116723.0,124735.0,120621.0,95600,107.0,9.0
Rockport-Saugus,24.827248081289227,Rockport,Saugus,53818.0,67268.0,72069.0,76745.0,85208,69615.0,80119.0,78669.0,77178.0,88667,252.0,262.0
Haverhill-Gloucester,24.95035273715314,Haverhill,Gloucester,49111.0,70613.0,70891.0,67325.0,69426,51063.0,62480.0,67888.0,65749.0,72574,128.0,107.0
Amesbury-Marblehead,25.056378726242865,Amesbury,Marblehead,52538.0,72417.0,73840.0,81465.0,82468,78288.0,101935.0,105225.0,105511.0,123333,7.0,168.0
Saugus-Newburyport,25.312493514949253,Saugus,Newburyport,69615.0,80119.0,78669.0,77178.0,88667,55904.0,73810.0,83301.0,82912.0,109839,262.0,206.0
Amesbury-Swampscott,25.72700610367984,Amesbury,Swampscott,52538.0,72417.0,73840.0,81465.0,82468,78559.0,95930.0,101129.0,98628.0,113407,7.0,291.0
Lynn-Amesbury,25.86689109358219,Lynn,Amesbury,46904.0,54573.0,53153.0,46944.0,56181,52538.0,72417.0,73840.0,81465.0,82468,163.0,7.0
Rockport-North Andover,25.970085084054105,Rockport,North Andover,53818.0,67268.0,72069.0,76745.0,85208,72562.0,98798.0,103461.0,99691.0,108070,252.0,210.0
Gloucester-Methuen,26.487426371561423,Gloucester,Methuen,51063.0,62480.0,67888.0,65749.0,72574,61849.0,72058.0,70598.0,67179.0,77484,107.0,181.0
Haverhill-Rockport,26.915489928836628,Haverhill,Rockport,49111.0,70613.0,70891.0,67325.0,69426,53818.0,67268.0,72069.0,76745.0,85208,128.0,252.0
Amesbury-Saugus,27.268306509975,Amesbury,Saugus,52538.0,72417.0,73840.0,81465.0,82468,69615.0,80119.0,78669.0,77178.0,88667,7.0,262.0
Lawrence-Rockport,27.33693396290136,Lawrence,Rockport,39108.0,42398.0,39808.0,34372.0,44613,53818.0,67268.0,72069.0,76745.0,85208,149.0,252.0
Rockport-Andover,27.740646256643792,Rockport,Andover,53818.0,67268.0,72069.0,76745.0,85208,88976.0,116723.0,124735.0,120621.0,95600,252.0,9.0
Methuen-Rockport,29.08233974307388,Methuen,Rockport,61849.0,72058.0,70598.0,67179.0,77484,53818.0,67268.0,72069.0,76745.0,85208,181.0,252.0
