school_to_school,origin,distance_mi,median_household_income_x,median_household_income_y
Amesbury-Methuen,0,14.19260795563816,82468,77484
Danvers-Merrimac,0,14.486994630142885,89250,84609
Hamilton-North Andover,0,14.529339262337508,127813,108070
Hamilton-Saugus,0,14.6134452953004,127813,88667
Haverhill-Ipswich,0,14.669865718574146,69426,93212
Georgetown-Manchester,0,14.883813332484069,128466,148854
Ipswich-Swampscott,0,14.900666267532348,93212,113407
Lawrence-Ipswich,0,14.938465774524616,44613,93212
Rockport-Beverly,0,15.074415061446627,85208,80586
Lawrence-Amesbury,0,15.087670934599409,44613,82468
Lynnfield-Methuen,0,15.14039062640831,128641,77484
Andover-Saugus,0,15.162806374607642,95600,88667
Gloucester-Salisbury,0,15.183458969627928,72574,81304
North Andover-Beverly,0,15.202946214049929,108070,80586
Gloucester-Boxford,0,15.254370502270476,72574,184007
Andover-Beverly,0,15.336875510225218,95600,80586
Lynnfield-Rowley,0,15.362293556244408,128641,115909
Ipswich-Lynn,0,15.380850893825723,93212,56181
Newburyport-Methuen,0,15.49621321495254,109839,77484
Manchester-Saugus,0,15.506799112025297,148854,88667
Swampscott-Gloucester,0,15.517247717133625,113407,72574
Salem-Georgetown,0,15.519365983947756,68808,128466
Newburyport-Lawrence,0,15.606260090799044,109839,44613
Ipswich-Andover,0,15.619722899199228,93212,95600
Hamilton-Lawrence,0,15.70856348237175,127813,44613
Amesbury-Middleton,0,15.72378249702108,82468,125204
Hamilton-Andover,0,15.758343218532286,127813,95600
Gloucester-Peabody,0,15.890522696154266,72574,73217
Beverly-Lawrence,0,16.00590447862675,80586,44613
Danvers-Methuen,0,16.053745356476842,89250,77484
Hamilton-Amesbury,0,16.097453923288366,127813,82468
Danvers-Newburyport,0,16.133658382863327,89250,109839
Andover-Salem,0,16.204989390768823,95600,68808
Salem-Newbury,0,16.43744294243522,68808,101875
Peabody-Methuen,0,16.439975632764526,73217,77484
Lynn-Andover,0,16.481500340819096,56181,95600
Groveland-Beverly,0,16.495403844308367,103125,80586
Methuen-Ipswich,0,16.565586663887842,77484,93212
Lynn-Gloucester,0,16.5739121803416,56181,72574
Groveland-Peabody,0,16.58896113190994,103125,73217
Haverhill-Danvers,0,16.742845521517314,69426,89250
Rockport-Newbury,0,16.829522160879524,85208,101875
Groveland-Lynnfield,0,16.880364255363606,103125,128641
North Andover-Salem,0,16.994939653374267,108070,68808
Rockport-Danvers,0,17.068055413321378,85208,89250
Georgetown-Marblehead,0,17.078385759064822,128466,123333
Newburyport-Manchester,0,17.092291070744253,109839,148854
Lawrence-Saugus,0,17.09637317499067,44613,88667
Haverhill-Hamilton,0,17.117663719384304,69426,127813
Swampscott-Andover,0,17.159933115955244,113407,95600
Newburyport-Beverly,0,17.162864608528,109839,80586
Andover-Amesbury,0,17.210854155649013,95600,82468
Rockport-Marblehead,0,17.214476041323557,85208,123333
Lynn-Georgetown,0,17.229769197983277,56181,128466
Saugus-North Andover,0,17.24339387979217,88667,108070
Georgetown-Swampscott,0,17.25751644148076,128466,113407
Newburyport-Andover,0,17.403607755179664,109839,95600
Gloucester-Newburyport,0,17.439456653732286,72574,109839
Salem-Lawrence,0,17.441359298529775,68808,44613
Georgetown-Gloucester,0,17.51726905403272,128466,72574
Haverhill-Lynnfield,0,17.549864906635467,69426,128641
Salisbury-Marblehead,0,17.559301459631794,81304,123333
Lynn-North Andover,0,17.793342757604016,56181,108070
Newburyport-Rockport,0,17.911944205966048,109839,85208
Hamilton-Methuen,0,17.956172618128836,127813,77484
Ipswich-Saugus,0,17.993398810778938,93212,88667
Lynn-Lawrence,0,18.016548938946595,56181,44613
Haverhill-Peabody,0,18.069702789019665,69426,73217
Swampscott-North Andover,0,18.268783059518945,113407,108070
Georgetown-Saugus,0,18.28075555882961,128466,88667
Swampscott-Newbury,0,18.31949668550949,113407,101875
Rockport-Salem,0,18.37551040891196,85208,68808
Andover-Marblehead,0,18.48502227795016,95600,123333
Newbury-Lynn,0,18.534331766607817,101875,56181
Swampscott-Lawrence,0,18.584554664701063,113407,44613
Danvers-Amesbury,0,18.594489097577085,89250,82468
Groveland-Manchester,0,18.708926594679557,103125,148854
Rockport-Boxford,0,18.711609389647226,85208,184007
Methuen-Beverly,0,18.785638006009563,77484,80586
Lynnfield-Gloucester,0,18.87052226289195,128641,72574
Peabody-Newburyport,0,19.090854751609864,73217,109839
North Andover-Marblehead,0,19.10744090093772,108070,123333
Beverly-Haverhill,0,19.17226391554763,80586,69426
Manchester-North Andover,0,19.60006908182719,148854,108070
Lawrence-Marblehead,0,19.63388197068381,44613,123333
Georgetown-Rockport,0,19.77429283323797,128466,85208
Salem-Merrimac,0,19.79855980776882,68808,84609
Rockport-Swampscott,0,19.832944954636584,85208,113407
Peabody-Rockport,0,19.98039290805461,73217,85208
Amesbury-Beverly,0,20.02087689393048,82468,80586
