town_low,town_high,distance_mi,rank,category,white_pct,school_to_school
Marblehead,Topsfield,0.0,110,white_pct_low,85.2,Marblehead-Topsfield
Peabody,Manchester,0.0,111,white_pct_low,72.5,Peabody-Manchester
Beverly,Gloucester,0.0,112,white_pct_low,75.0,Beverly-Gloucester
Swampscott,Hamilton,0.0,113,white_pct_low,78.1,Swampscott-Hamilton
Boxford,Manchester,0.0,114,white_pct_low,90.0,Boxford-Manchester
Merrimac,Middleton,0.0,115,white_pct_low,89.9,Merrimac-Middleton
Danvers,Newbury,0.0,116,white_pct_low,83.6,Danvers-Newbury
Lynnfield,Hamilton,0.0,117,white_pct_low,82.2,Lynnfield-Hamilton
Andover,Groveland,0.0,118,white_pct_low,66.5,Andover-Groveland
Haverhill,Newburyport,0.0,119,white_pct_low,49.7,Haverhill-Newburyport
Saugus,Boxford,0.0,120,white_pct_low,62.5,Saugus-Boxford
Lynn,Hamilton,0.0,121,white_pct_low,13.0,Lynn-Hamilton
Lynn,Manchester,0.0,122,white_pct_low,13.0,Lynn-Manchester
Peabody,Ipswich,0.0,123,white_pct_low,72.5,Peabody-Ipswich
North Andover,Lynnfield,0.0,124,white_pct_low,72.5,North Andover-Lynnfield
Lawrence,Lynnfield,0.0,125,white_pct_low,3.2,Lawrence-Lynnfield
Andover,Peabody,0.0,126,white_pct_low,66.5,Andover-Peabody
Amesbury,Ipswich,0.0,127,white_pct_low,82.6,Amesbury-Ipswich
Lawrence,Rowley,0.0,128,white_pct_low,3.2,Lawrence-Rowley
Hamilton,Rockport,0.0,129,white_pct_low,87.8,Hamilton-Rockport
Beverly,Georgetown,0.0,130,white_pct_low,75.0,Beverly-Georgetown
Peabody,Georgetown,0.0,131,white_pct_low,72.5,Peabody-Georgetown
Methuen,Topsfield,0.0,132,white_pct_low,42.6,Methuen-Topsfield
North Andover,Danvers,0.0,133,white_pct_low,72.5,North Andover-Danvers
Andover,Danvers,0.0,134,white_pct_low,66.5,Andover-Danvers
Ipswich,Rockport,0.0,135,white_pct_low,86.3,Ipswich-Rockport
Beverly,Newbury,0.0,136,white_pct_low,75.0,Beverly-Newbury
Hamilton,Newburyport,0.0,137,white_pct_low,87.8,Hamilton-Newburyport
Gloucester,Marblehead,0.0,138,white_pct_low,79.7,Gloucester-Marblehead
Salem,Ipswich,0.0,139,white_pct_low,42.4,Salem-Ipswich
Methuen,Newbury,0.0,140,white_pct_low,42.6,Methuen-Newbury
