town_low,town_high,distance_mi,rank,hh_income_category,hh_income_value,school_to_school
Amesbury,Ipswich,0.0,127,median_household_income_low,82468,Amesbury-Ipswich
Lawrence,Rowley,0.0,128,median_household_income_low,44613,Lawrence-Rowley
Rockport,Hamilton,0.0,129,median_household_income_low,85208,Rockport-Hamilton
Beverly,Georgetown,0.0,130,median_household_income_low,80586,Beverly-Georgetown
Peabody,Georgetown,0.0,131,median_household_income_low,73217,Peabody-Georgetown
Methuen,Topsfield,0.0,132,median_household_income_low,77484,Methuen-Topsfield
Danvers,North Andover,0.0,133,median_household_income_low,89250,Danvers-North Andover
Danvers,Andover,0.0,134,median_household_income_low,89250,Danvers-Andover
Rockport,Ipswich,0.0,135,median_household_income_low,85208,Rockport-Ipswich
Beverly,Newbury,0.0,136,median_household_income_low,80586,Beverly-Newbury
Newburyport,Hamilton,0.0,137,median_household_income_low,109839,Newburyport-Hamilton
Gloucester,Marblehead,0.0,138,median_household_income_low,72574,Gloucester-Marblehead
Salem,Ipswich,0.0,139,median_household_income_low,68808,Salem-Ipswich
Methuen,Newbury,0.0,140,median_household_income_low,77484,Methuen-Newbury
Peabody,North Andover,0.0,141,median_household_income_low,73217,Peabody-North Andover
Georgetown,Lynnfield,0.0,142,median_household_income_low,128466,Georgetown-Lynnfield
Haverhill,Middleton,0.0,143,median_household_income_low,69426,Haverhill-Middleton
Gloucester,Danvers,0.0,144,median_household_income_low,72574,Gloucester-Danvers
Lawrence,Danvers,0.0,145,median_household_income_low,44613,Lawrence-Danvers
Lawrence,Peabody,0.0,146,median_household_income_low,44613,Lawrence-Peabody
Ipswich,North Andover,0.0,147,median_household_income_low,93212,Ipswich-North Andover
Andover,Rowley,0.0,148,median_household_income_low,95600,Andover-Rowley
Newbury,Manchester,0.0,149,median_household_income_low,101875,Newbury-Manchester
Groveland,Hamilton,0.0,150,median_household_income_low,103125,Groveland-Hamilton
Ipswich,Marblehead,0.0,151,median_household_income_low,93212,Ipswich-Marblehead
Amesbury,North Andover,0.0,152,median_household_income_low,82468,Amesbury-North Andover
Newburyport,Boxford,0.0,153,median_household_income_low,109839,Newburyport-Boxford
Ipswich,Lynnfield,0.0,154,median_household_income_low,93212,Ipswich-Lynnfield
Lynnfield,Manchester,0.0,155,median_household_income_low,128641,Lynnfield-Manchester
North Andover,Newburyport,0.0,156,median_household_income_low,108070,North Andover-Newburyport
Salem,Gloucester,0.0,157,median_household_income_low,68808,Salem-Gloucester
Peabody,Newbury,0.0,158,median_household_income_low,73217,Peabody-Newbury
Methuen,Amesbury,0.0,159,median_household_income_low,77484,Methuen-Amesbury
Merrimac,Danvers,0.0,160,median_household_income_low,84609,Merrimac-Danvers
North Andover,Hamilton,0.0,161,median_household_income_low,108070,North Andover-Hamilton
Saugus,Hamilton,0.0,162,median_household_income_low,88667,Saugus-Hamilton
Haverhill,Ipswich,0.0,163,median_household_income_low,69426,Haverhill-Ipswich
Georgetown,Manchester,0.0,164,median_household_income_low,128466,Georgetown-Manchester
Ipswich,Swampscott,0.0,165,median_household_income_low,93212,Ipswich-Swampscott
Lawrence,Ipswich,0.0,166,median_household_income_low,44613,Lawrence-Ipswich
Beverly,Rockport,0.0,167,median_household_income_low,80586,Beverly-Rockport
Lawrence,Amesbury,0.0,168,median_household_income_low,44613,Lawrence-Amesbury
Methuen,Lynnfield,0.0,169,median_household_income_low,77484,Methuen-Lynnfield
Saugus,Andover,0.0,170,median_household_income_low,88667,Saugus-Andover
Gloucester,Salisbury,0.0,171,median_household_income_low,72574,Gloucester-Salisbury
Beverly,North Andover,0.0,172,median_household_income_low,80586,Beverly-North Andover
Gloucester,Boxford,0.0,173,median_household_income_low,72574,Gloucester-Boxford
Beverly,Andover,0.0,174,median_household_income_low,80586,Beverly-Andover
Rowley,Lynnfield,0.0,175,median_household_income_low,115909,Rowley-Lynnfield
Lynn,Ipswich,0.0,176,median_household_income_low,56181,Lynn-Ipswich
Methuen,Newburyport,0.0,177,median_household_income_low,77484,Methuen-Newburyport
Saugus,Manchester,0.0,178,median_household_income_low,88667,Saugus-Manchester
Gloucester,Swampscott,0.0,179,median_household_income_low,72574,Gloucester-Swampscott
Salem,Georgetown,0.0,180,median_household_income_low,68808,Salem-Georgetown
Lawrence,Newburyport,0.0,181,median_household_income_low,44613,Lawrence-Newburyport
Ipswich,Andover,0.0,182,median_household_income_low,93212,Ipswich-Andover
Lawrence,Hamilton,0.0,183,median_household_income_low,44613,Lawrence-Hamilton
Amesbury,Middleton,0.0,184,median_household_income_low,82468,Amesbury-Middleton
Andover,Hamilton,0.0,185,median_household_income_low,95600,Andover-Hamilton
Gloucester,Peabody,0.0,186,median_household_income_low,72574,Gloucester-Peabody
Lawrence,Beverly,0.0,187,median_household_income_low,44613,Lawrence-Beverly
Methuen,Danvers,0.0,188,median_household_income_low,77484,Methuen-Danvers
Amesbury,Hamilton,0.0,189,median_household_income_low,82468,Amesbury-Hamilton
Danvers,Newburyport,0.0,190,median_household_income_low,89250,Danvers-Newburyport
Salem,Andover,0.0,191,median_household_income_low,68808,Salem-Andover
Salem,Newbury,0.0,192,median_household_income_low,68808,Salem-Newbury
Peabody,Methuen,0.0,193,median_household_income_low,73217,Peabody-Methuen
Lynn,Andover,0.0,194,median_household_income_low,56181,Lynn-Andover
Beverly,Groveland,0.0,195,median_household_income_low,80586,Beverly-Groveland
Methuen,Ipswich,0.0,196,median_household_income_low,77484,Methuen-Ipswich
Lynn,Gloucester,0.0,197,median_household_income_low,56181,Lynn-Gloucester
Peabody,Groveland,0.0,198,median_household_income_low,73217,Peabody-Groveland
Haverhill,Danvers,0.0,199,median_household_income_low,69426,Haverhill-Danvers
Rockport,Newbury,0.0,200,median_household_income_low,85208,Rockport-Newbury
Groveland,Lynnfield,0.0,201,median_household_income_low,103125,Groveland-Lynnfield
Salem,North Andover,0.0,202,median_household_income_low,68808,Salem-North Andover
Rockport,Danvers,0.0,203,median_household_income_low,85208,Rockport-Danvers
Marblehead,Georgetown,0.0,204,median_household_income_low,123333,Marblehead-Georgetown
Newburyport,Manchester,0.0,205,median_household_income_low,109839,Newburyport-Manchester
Lawrence,Saugus,0.0,206,median_household_income_low,44613,Lawrence-Saugus
Haverhill,Hamilton,0.0,207,median_household_income_low,69426,Haverhill-Hamilton
Andover,Swampscott,0.0,208,median_household_income_low,95600,Andover-Swampscott
Beverly,Newburyport,0.0,209,median_household_income_low,80586,Beverly-Newburyport
Amesbury,Andover,0.0,210,median_household_income_low,82468,Amesbury-Andover
Rockport,Marblehead,0.0,211,median_household_income_low,85208,Rockport-Marblehead
Lynn,Georgetown,0.0,212,median_household_income_low,56181,Lynn-Georgetown
Saugus,North Andover,0.0,213,median_household_income_low,88667,Saugus-North Andover
Swampscott,Georgetown,0.0,214,median_household_income_low,113407,Swampscott-Georgetown
Andover,Newburyport,0.0,215,median_household_income_low,95600,Andover-Newburyport
Gloucester,Newburyport,0.0,216,median_household_income_low,72574,Gloucester-Newburyport
Lawrence,Salem,0.0,217,median_household_income_low,44613,Lawrence-Salem
Gloucester,Georgetown,0.0,218,median_household_income_low,72574,Gloucester-Georgetown
