town_low,town_high,distance_mi,rank,category,pct_graduated,school_to_school
Lynn,Amesbury,0.0,292,pct_graduated_low,79.0,Lynn-Amesbury
Rockport,North Andover,0.0,293,pct_graduated_low,94.9,Rockport-North Andover
Gloucester,Methuen,0.0,294,pct_graduated_low,83.7,Gloucester-Methuen
Haverhill,Rockport,0.0,295,pct_graduated_low,80.4,Haverhill-Rockport
Saugus,Amesbury,0.0,296,pct_graduated_low,87.7,Saugus-Amesbury
Lawrence,Rockport,0.0,297,pct_graduated_low,72.8,Lawrence-Rockport
Rockport,Andover,0.0,298,pct_graduated_low,94.9,Rockport-Andover
Methuen,Rockport,0.0,299,pct_graduated_low,93.2,Methuen-Rockport
Lynn,Swampscott,1.196055302079143,0,pct_graduated_high,95.7,Lynn-Swampscott
Lawrence,North Andover,1.5855866438822594,1,pct_graduated_high,97.3,Lawrence-North Andover
Salem,Swampscott,1.9363245470077504,2,pct_graduated_high,95.7,Salem-Swampscott
Salem,Marblehead,2.361965084725948,3,pct_graduated_high,95.1,Salem-Marblehead
Lawrence,Andover,2.4075788470636974,4,pct_graduated_high,95.2,Lawrence-Andover
Salem,Lynn,2.620759071282193,5,pct_graduated_high,79.0,Salem-Lynn
Marblehead,Swampscott,2.7700866048205146,6,pct_graduated_high,95.7,Marblehead-Swampscott
Beverly,Danvers,2.820942616776508,7,pct_graduated_high,95.8,Beverly-Danvers
Peabody,Lynnfield,3.0211280959779665,8,pct_graduated_high,97.5,Peabody-Lynnfield
Lawrence,Methuen,3.190858545165007,9,pct_graduated_high,93.2,Lawrence-Methuen
Peabody,Danvers,3.3831848090871595,10,pct_graduated_high,95.8,Peabody-Danvers
Methuen,North Andover,3.582984079375072,11,pct_graduated_high,97.3,Methuen-North Andover
Andover,North Andover,3.5890416313744566,12,pct_graduated_high,97.3,Andover-North Andover
Danvers,Topsfield,3.717251074636475,13,pct_graduated_high,95.9,Danvers-Topsfield
Salisbury,Georgetown,3.814898481551445,14,pct_graduated_high,95.5,Salisbury-Georgetown
Amesbury,Newburyport,3.8692811155221,15,pct_graduated_high,94.6,Amesbury-Newburyport
Lynn,Marblehead,3.9489579065240856,16,pct_graduated_high,95.1,Lynn-Marblehead
Ipswich,Hamilton,4.140077970284551,17,pct_graduated_high,97.2,Ipswich-Hamilton
Salem,Peabody,4.141631838811724,18,pct_graduated_high,88.0,Salem-Peabody
Lynn,Saugus,4.160763648971105,19,pct_graduated_high,87.7,Lynn-Saugus
Merrimac,Georgetown,4.28828278923016,20,pct_graduated_high,95.5,Merrimac-Georgetown
Gloucester,Rockport,4.3171524484408135,21,pct_graduated_high,94.9,Gloucester-Rockport
Salem,Beverly,4.327777882741018,22,pct_graduated_high,91.0,Salem-Beverly
Beverly,Hamilton,4.72845942483406,23,pct_graduated_high,97.2,Beverly-Hamilton
Haverhill,Groveland,4.762942120764938,24,pct_graduated_high,94.7,Haverhill-Groveland
Peabody,Beverly,4.935838087070542,25,pct_graduated_high,91.0,Peabody-Beverly
Lynn,Peabody,4.94029677394803,26,pct_graduated_high,88.0,Lynn-Peabody
Haverhill,Methuen,4.97318960159047,27,pct_graduated_high,93.2,Haverhill-Methuen
Newbury,Newburyport,5.008180269711917,28,pct_graduated_high,94.6,Newbury-Newburyport
Beverly,Marblehead,5.037819794778186,29,pct_graduated_high,95.1,Beverly-Marblehead
Gloucester,Manchester,5.06495176646527,30,pct_graduated_high,99.1,Gloucester-Manchester
Newbury,Ipswich,5.0819856969992605,31,pct_graduated_high,90.8,Newbury-Ipswich
Hamilton,Manchester,5.254430247077268,32,pct_graduated_high,99.1,Hamilton-Manchester
Peabody,Swampscott,5.289150594497587,33,pct_graduated_high,95.7,Peabody-Swampscott
Methuen,Andover,5.306090018823177,34,pct_graduated_high,95.2,Methuen-Andover
Salem,Danvers,5.330710306255406,35,pct_graduated_high,95.8,Salem-Danvers
Danvers,Hamilton,5.335146344153019,36,pct_graduated_high,97.2,Danvers-Hamilton
Saugus,Swampscott,5.349151489056062,37,pct_graduated_high,95.7,Saugus-Swampscott
Saugus,Lynnfield,5.433577113105851,38,pct_graduated_high,97.5,Saugus-Lynnfield
Peabody,Middleton,5.5454252943224684,39,pct_graduated_high,95.9,Peabody-Middleton
Newbury,Groveland,5.590551585369322,40,pct_graduated_high,94.7,Newbury-Groveland
Amesbury,Groveland,5.917174839382962,41,pct_graduated_high,94.7,Amesbury-Groveland
Danvers,Lynnfield,5.964400140329401,42,pct_graduated_high,97.5,Danvers-Lynnfield
Beverly,Manchester,5.971410704235797,43,pct_graduated_high,99.1,Beverly-Manchester
Haverhill,North Andover,6.005102278445393,44,pct_graduated_high,97.3,Haverhill-North Andover
Beverly,Swampscott,6.252890130243487,45,pct_graduated_high,95.7,Beverly-Swampscott
Lynn,Lynnfield,6.268752525050366,46,pct_graduated_high,97.5,Lynn-Lynnfield
Saugus,Peabody,6.286835159897371,47,pct_graduated_high,88.0,Saugus-Peabody
Beverly,Middleton,6.352256480398708,48,pct_graduated_high,95.9,Beverly-Middleton
Peabody,Marblehead,6.446932447408488,49,pct_graduated_high,95.1,Peabody-Marblehead
Salem,Saugus,6.465266029224285,50,pct_graduated_high,87.7,Salem-Saugus
Middleton,Hamilton,6.512709111452249,51,pct_graduated_high,97.2,Middleton-Hamilton
Salem,Lynnfield,6.587860172732203,52,pct_graduated_high,97.5,Salem-Lynnfield
Boxford,Lynnfield,6.601916701304433,53,pct_graduated_high,97.5,Boxford-Lynnfield
