school_to_school,distance_mi,town,year,hh_income,rank,category
Gloucester-Swampscott,15.517247717133625,Gloucester,1979,51063.0,179,x_hh_income
Salem-Georgetown,15.519365983947756,Salem,1979,49457.0,180,x_hh_income
Lawrence-Newburyport,15.606260090799044,Lawrence,1979,39108.0,181,x_hh_income
Ipswich-Andover,15.619722899199228,Ipswich,1979,67379.0,182,x_hh_income
Lawrence-Hamilton,15.70856348237175,Lawrence,1979,39108.0,183,x_hh_income
Amesbury-Middleton,15.72378249702108,Amesbury,1979,52538.0,184,x_hh_income
Andover-Hamilton,15.758343218532286,Andover,1979,88976.0,185,x_hh_income
Gloucester-Peabody,15.890522696154266,Gloucester,1979,51063.0,186,x_hh_income
Lawrence-Beverly,16.00590447862675,Lawrence,1979,39108.0,187,x_hh_income
Methuen-Danvers,16.053745356476842,Methuen,1979,61849.0,188,x_hh_income
Amesbury-Hamilton,16.097453923288366,Amesbury,1979,52538.0,189,x_hh_income
Danvers-Newburyport,16.133658382863327,Danvers,1979,71502.0,190,x_hh_income
Salem-Andover,16.204989390768823,Salem,1979,49457.0,191,x_hh_income
Salem-Newbury,16.43744294243522,Salem,1979,49457.0,192,x_hh_income
Peabody-Methuen,16.439975632764526,Peabody,1979,67532.0,193,x_hh_income
Lynn-Andover,16.481500340819096,Lynn,1979,46904.0,194,x_hh_income
Beverly-Groveland,16.495403844308367,Beverly,1979,61261.0,195,x_hh_income
Methuen-Ipswich,16.565586663887842,Methuen,1979,61849.0,196,x_hh_income
Lynn-Gloucester,16.5739121803416,Lynn,1979,46904.0,197,x_hh_income
Peabody-Groveland,16.58896113190994,Peabody,1979,67532.0,198,x_hh_income
Haverhill-Danvers,16.742845521517314,Haverhill,1979,49111.0,199,x_hh_income
Rockport-Newbury,16.829522160879524,Rockport,1979,53818.0,200,x_hh_income
Groveland-Lynnfield,16.880364255363606,Groveland,1979,73695.0,201,x_hh_income
Salem-North Andover,16.994939653374267,Salem,1979,49457.0,202,x_hh_income
Rockport-Danvers,17.068055413321378,Rockport,1979,53818.0,203,x_hh_income
Marblehead-Georgetown,17.078385759064822,Marblehead,1979,78288.0,204,x_hh_income
Newburyport-Manchester,17.092291070744253,Newburyport,1979,55904.0,205,x_hh_income
Lawrence-Saugus,17.09637317499067,Lawrence,1979,39108.0,206,x_hh_income
Haverhill-Hamilton,17.117663719384304,Haverhill,1979,49111.0,207,x_hh_income
Andover-Swampscott,17.159933115955244,Andover,1979,88976.0,208,x_hh_income
Beverly-Newburyport,17.162864608528,Beverly,1979,61261.0,209,x_hh_income
Amesbury-Andover,17.210854155649013,Amesbury,1979,52538.0,210,x_hh_income
Rockport-Marblehead,17.214476041323557,Rockport,1979,53818.0,211,x_hh_income
Lynn-Georgetown,17.229769197983277,Lynn,1979,46904.0,212,x_hh_income
Saugus-North Andover,17.24339387979217,Saugus,1979,69615.0,213,x_hh_income
Swampscott-Georgetown,17.25751644148076,Swampscott,1979,78559.0,214,x_hh_income
Andover-Newburyport,17.403607755179664,Andover,1979,88976.0,215,x_hh_income
Gloucester-Newburyport,17.439456653732286,Gloucester,1979,51063.0,216,x_hh_income
Lawrence-Salem,17.441359298529775,Lawrence,1979,39108.0,217,x_hh_income
