school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2
Methuen-Andover,8.539324166,5.306090018823177,Methuen,Andover,19,42.733063,-71.171563,2,42.657187,-71.155438
Danvers-Salem,8.578946678,5.330710306255406,Danvers,Salem,5,42.582062,-70.931438,28,42.506312,-70.911563
Danvers-Hamilton,8.586085789,5.335146344153019,Danvers,Hamilton,5,42.582062,-70.931438,33,42.628687,-70.847813
Saugus-Swampscott,8.608624885,5.349151489056062,Saugus,Swampscott,30,42.460813,-71.022437,31,42.479062,-70.920438
Lynnfield-Saugus,8.744494757,5.433577113105851,Lynnfield,Saugus,15,42.539063,-71.033062,30,42.460813,-71.022437
Peabody-Middleton,8.924496957,5.5454252943224684,Peabody,Middleton,25,42.544562,-70.974187,20,42.624813,-70.975813
Groveland-Newbury,8.997120683,5.590551585369322,Groveland,Newbury,9,42.782938,-71.013188,22,42.744187,-70.916438
Amesbury-Groveland,9.522769859,5.917174839382962,Amesbury,Groveland,1,42.851062,-70.942437,34,42.782938,-71.013188
Lynnfield-Danvers,9.598771614,5.964400140329401,Lynnfield,Danvers,15,42.539063,-71.033062,5,42.582062,-70.931438
Beverly-Manchester,9.610054023,5.971410704235797,Beverly,Manchester,3,42.564813,-70.881187,16,42.582062,-70.766188
Haverhill-North Andover,9.664275356,6.005102278445393,Haverhill,North Andover,11,42.787188,-71.106938,24,42.700563,-71.116563
Beverly-Swampscott,10.06305125,6.252890130243487,Beverly,Swampscott,3,42.564813,-70.881187,21,42.479062,-70.920438
Lynn-Lynnfield,10.0885793,6.268752525050366,Lynn,Lynnfield,14,42.476687,-70.943687,15,42.539063,-71.033062
Peabody-Saugus,10.11768048,6.286835159897371,Peabody,Saugus,25,42.544562,-70.974187,30,42.460813,-71.022437
Beverly-Middleton,10.22296589,6.352256480398708,Beverly,Middleton,3,42.564813,-70.881187,20,42.624813,-70.975813
Marblehead-Peabody,10.37533209,6.4469324474084875,Marblehead,Peabody,17,42.492438,-70.869187,25,42.544562,-70.974187
Saugus-Salem,10.40483713,6.465266029224285,Saugus,Salem,30,42.460813,-71.022437,28,42.506312,-70.911563
Hamilton-Middleton,10.48118937,6.512709111452249,Hamilton,Middleton,33,42.628687,-70.847813,20,42.624813,-70.975813
Lynnfield-Salem,10.60213328,6.587860172732203,Lynnfield,Salem,15,42.539063,-71.033062,28,42.506312,-70.911563
Lynnfield-Boxford,10.62475507,6.601916701304433,Lynnfield,Boxford,15,42.539063,-71.033062,4,42.624813,-70.975813
Newburyport-Merrimac,10.89412059,6.769292675011802,Newburyport,Merrimac,23,42.813187,-70.886188,18,42.782938,-71.013188
Georgetown-North Andover,10.94796536,6.802750263821978,Georgetown,North Andover,7,42.724063,-70.986438,24,42.700563,-71.116563
Lynn-Beverly,11.05712199,6.870577048901468,Lynn,Beverly,14,42.476687,-70.943687,3,42.564813,-70.881187
Georgetown-Boxford,11.07022693,6.878720081064147,Georgetown,Boxford,7,42.724063,-70.986438,4,42.624813,-70.975813
Lawrence-Haverhill,11.1196051,6.909402253317068,Lawrence,Haverhill,13,42.691187,-71.145062,11,42.787188,-71.106938
Marblehead-Danvers,11.19507944,6.956299833777334,Marblehead,Danvers,17,42.492438,-70.869187,5,42.582062,-70.931438
Lynnfield-Swampscott,11.39026344,7.077581548126293,Lynnfield,Swampscott,15,42.539063,-71.033062,21,42.479062,-70.920438
Swampscott-Danvers,11.48849094,7.138617286692019,Swampscott,Danvers,21,42.479062,-70.920438,5,42.582062,-70.931438
Georgetown-Ipswich,11.75440902,7.303851120504134,Georgetown,Ipswich,7,42.724063,-70.986438,12,42.688563,-70.850938
Lynn-Danvers,11.76007724,7.307373189110715,Lynn,Danvers,14,42.476687,-70.943687,5,42.582062,-70.931438
Amesbury-Newbury,12.07179374,7.5010648416583505,Amesbury,Newbury,1,42.851062,-70.942437,22,42.744187,-70.916438
Haverhill-Georgetown,12.08555762,7.509617320152967,Haverhill,Georgetown,11,42.787188,-71.106938,7,42.724063,-70.986438
Middleton-Ipswich,12.43097192,7.724247814786984,Middleton,Ipswich,20,42.624813,-70.975813,12,42.688563,-70.850938
North Andover-Merrimac,12.45660531,7.740175664835019,North Andover,Merrimac,24,42.700563,-71.116563,18,42.782938,-71.013188
Beverly-Lynnfield,12.76583762,7.932323713286167,Beverly,Lynnfield,3,42.564813,-70.881187,15,42.539063,-71.033062
Newburyport-Georgetown,12.85209248,7.985919998287651,Newburyport,Georgetown,23,42.813187,-70.886188,7,42.724063,-70.986438
Saugus-Marblehead,13.05104119,8.109540994969315,Saugus,Marblehead,30,42.460813,-71.022437,17,42.492438,-70.869187
