school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2
Topsfield-Beverly,10.22296589,6.352256480398708,Topsfield,Beverly,32,42.624813,-70.975813,3,42.564813,-70.881187
Marblehead-Peabody,10.37533209,6.4469324474084875,Marblehead,Peabody,17,42.492438,-70.869187,25,42.544562,-70.974187
Peabody-Marblehead,10.37533209,6.4469324474084875,Peabody,Marblehead,25,42.544562,-70.974187,17,42.492438,-70.869187
Saugus-Salem,10.40483713,6.465266029224285,Saugus,Salem,30,42.460813,-71.022437,28,42.506312,-70.911563
Salem-Saugus,10.40483713,6.465266029224285,Salem,Saugus,28,42.506312,-70.911563,30,42.460813,-71.022437
Middleton-Hamilton,10.48118937,6.512709111452249,Middleton,Hamilton,20,42.624813,-70.975813,10,42.628687,-70.847813
Hamilton-Topsfield,10.48118937,6.512709111452249,Hamilton,Topsfield,33,42.628687,-70.847813,32,42.624813,-70.975813
Boxford-Hamilton,10.48118937,6.512709111452249,Boxford,Hamilton,4,42.624813,-70.975813,33,42.628687,-70.847813
Hamilton-Boxford,10.48118937,6.512709111452249,Hamilton,Boxford,33,42.628687,-70.847813,4,42.624813,-70.975813
Hamilton-Boxford,10.48118937,6.512709111452249,Hamilton,Boxford,10,42.628687,-70.847813,4,42.624813,-70.975813
Topsfield-Hamilton,10.48118937,6.512709111452249,Topsfield,Hamilton,32,42.624813,-70.975813,33,42.628687,-70.847813
Hamilton-Middleton,10.48118937,6.512709111452249,Hamilton,Middleton,10,42.628687,-70.847813,20,42.624813,-70.975813
Hamilton-Topsfield,10.48118937,6.512709111452249,Hamilton,Topsfield,10,42.628687,-70.847813,32,42.624813,-70.975813
Topsfield-Hamilton,10.48118937,6.512709111452249,Topsfield,Hamilton,32,42.624813,-70.975813,10,42.628687,-70.847813
Middleton-Hamilton,10.48118937,6.512709111452249,Middleton,Hamilton,20,42.624813,-70.975813,33,42.628687,-70.847813
Boxford-Hamilton,10.48118937,6.512709111452249,Boxford,Hamilton,4,42.624813,-70.975813,10,42.628687,-70.847813
Hamilton-Middleton,10.48118937,6.512709111452249,Hamilton,Middleton,33,42.628687,-70.847813,20,42.624813,-70.975813
Lynnfield-Salem,10.60213328,6.587860172732203,Lynnfield,Salem,15,42.539063,-71.033062,28,42.506312,-70.911563
Salem-Lynnfield,10.60213328,6.587860172732203,Salem,Lynnfield,28,42.506312,-70.911563,15,42.539063,-71.033062
Lynnfield-Boxford,10.62475507,6.601916701304433,Lynnfield,Boxford,15,42.539063,-71.033062,4,42.624813,-70.975813
Middleton-Lynnfield,10.62475507,6.601916701304433,Middleton,Lynnfield,20,42.624813,-70.975813,15,42.539063,-71.033062
Boxford-Lynnfield,10.62475507,6.601916701304433,Boxford,Lynnfield,4,42.624813,-70.975813,15,42.539063,-71.033062
Lynnfield-Topsfield,10.62475507,6.601916701304433,Lynnfield,Topsfield,15,42.539063,-71.033062,32,42.624813,-70.975813
Lynnfield-Middleton,10.62475507,6.601916701304433,Lynnfield,Middleton,15,42.539063,-71.033062,20,42.624813,-70.975813
Topsfield-Lynnfield,10.62475507,6.601916701304433,Topsfield,Lynnfield,32,42.624813,-70.975813,15,42.539063,-71.033062
Newburyport-Groveland,10.89412059,6.769292675011802,Newburyport,Groveland,23,42.813187,-70.886188,9,42.782938,-71.013188
Merrimac-Newburyport,10.89412059,6.769292675011802,Merrimac,Newburyport,18,42.782938,-71.013188,23,42.813187,-70.886188
