loc1,lat1,lon1,loc2,lat2,lon2,distance
4,42.624813,-70.975813,25,42.544562,-70.974187,8.924496957
4,42.624813,-70.975813,26,42.652187,-70.609562,30.11341641
4,42.624813,-70.975813,27,42.744187,-70.916438,14.13320392
4,42.624813,-70.975813,28,42.506312,-70.911563,14.18844708
4,42.624813,-70.975813,29,42.744187,-70.916438,14.13320392
4,42.624813,-70.975813,30,42.460813,-71.022437,18.63170692
4,42.624813,-70.975813,31,42.479062,-70.920438,16.82956561
4,42.624813,-70.975813,32,42.624813,-70.975813,0
4,42.624813,-70.975813,33,42.628687,-70.847813,10.48118937
4,42.624813,-70.975813,34,42.782938,-71.013188,17.8459646
4,42.624813,-70.975813,1,42.851062,-70.942437,25.30497511
4,42.624813,-70.975813,2,42.657187,-71.155438,15.12723827
4,42.624813,-70.975813,3,42.564813,-70.881187,10.22296589
5,42.582062,-70.931438,6,42.582062,-70.766188,13.52964684
5,42.582062,-70.931438,7,42.724063,-70.986438,16.41794196
5,42.582062,-70.931438,8,42.613438,-70.676187,21.18239826
5,42.582062,-70.931438,9,42.782938,-71.013188,23.31455797
5,42.582062,-70.931438,10,42.628687,-70.847813,8.586085789
5,42.582062,-70.931438,11,42.787188,-71.106938,26.94499808
5,42.582062,-70.931438,13,42.691187,-71.145062,21.27461202
5,42.582062,-70.931438,14,42.476687,-70.943687,11.76007724
5,42.582062,-70.931438,15,42.539063,-71.033062,9.598771614
5,42.582062,-70.931438,16,42.582062,-70.766188,13.52964684
5,42.582062,-70.931438,17,42.492438,-70.869187,11.19507944
5,42.582062,-70.931438,18,42.782938,-71.013188,23.31455797
5,42.582062,-70.931438,19,42.733063,-71.171563,25.83599886
5,42.582062,-70.931438,20,42.624813,-70.975813,5.982335735
5,42.582062,-70.931438,21,42.479062,-70.920438,11.48849094
5,42.582062,-70.931438,22,42.744187,-70.916438,18.06915233
5,42.582062,-70.931438,23,42.813187,-70.886188,25.96460641
5,42.582062,-70.931438,24,42.700563,-71.116563,20.07286678
5,42.582062,-70.931438,25,42.544562,-70.974187,5.444708193
5,42.582062,-70.931438,26,42.652187,-70.609562,27.46837267
5,42.582062,-70.931438,27,42.744187,-70.916438,18.06915233
5,42.582062,-70.931438,28,42.506312,-70.911563,8.578946678
5,42.582062,-70.931438,29,42.744187,-70.916438,18.06915233
5,42.582062,-70.931438,30,42.460813,-71.022437,15.40741896
5,42.582062,-70.931438,31,42.479062,-70.920438,11.48849094
5,42.582062,-70.931438,32,42.624813,-70.975813,5.982335735
5,42.582062,-70.931438,33,42.628687,-70.847813,8.586085789
5,42.582062,-70.931438,34,42.782938,-71.013188,23.31455797
5,42.582062,-70.931438,1,42.851062,-70.942437,29.92492957
